source	target	interaction	splice_status	weight	shade	status
TAF1	TAF1_PF00439	Common	normal	1.65217391304348	0	solid
TAF1_PF00439	CCND1_PF00134	Common	normal	1.65217391304348	0	arrow
CCND1	CCND1_PF00134	Common	normal	2	0	solid
ZHX3	ZHX3_PF00046	Common	normal	2	0	solid
ZHX3_PF00046	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
PIK3R1	PIK3R1_PF16454	Common	normal	2	0	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	2	0	arrow
STAT3_PF00017	STAT3	Common	normal	2	0	solid
AKT1	AKT1_PF00169	Common	normal	2	0	solid
AKT1_PF00169	PIK3R1_PF00017	Common	normal	2	0	arrow
PIK3R1_PF00017	PIK3R1	Common	normal	2	0	solid
AKT1	AKT1_PF00069	Common	normal	2	0	solid
AKT1_PF00069	PIK3R1_PF00017	Common	normal	2	0	arrow
AKT1_PF00169	PIK3R1_PF00620	Common	normal	2	0	arrow
PIK3R1_PF00620	PIK3R1	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	ELF3_PF00178	Common	normal	2	0	arrow
ELF3_PF00178	ELF3	Common	normal	2	0	solid
NFKB1_PF12796	NFKB2_PF16179	Common	normal	2	0	arrow
NFKB2_PF16179	NFKB2	Common	normal	2	0	solid
NFKB1_PF12796	NFKB2_PF12796	Common	normal	2	0	arrow
NFKB2_PF12796	NFKB2	Common	normal	2	0	solid
NFKB1_PF12796	ETS1_PF00178	Common	normal	2	0	arrow
ETS1	ETS1_PF00178	Common	normal	2	0	solid
FOSL1	FOSL1_PF00170	Common	normal	2	0	solid
FOSL1_PF00170	ATF2_PF00170	Common	normal	2	0	arrow
ATF2	ATF2_PF00170	Common	normal	0.0434782608695652	0	solid
FOSL1_PF00170	ATF4_PF00170	Common	normal	1.89130434782609	0	arrow
ATF4_PF00170	ATF4	Common	normal	1.89130434782609	0	solid
FOSL1_PF00170	JUNB_PF00170	Common	normal	2	0	arrow
JUNB_PF00170	JUNB	Common	normal	2	0	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
FOXA2_PF00250	FOXA2	Common	normal	2	0	solid
