source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447	Common	normal	1.65400271370421	-0.0176390773405698	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.65400271370421	-0.0176390773405698	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.65400271370421	-0.0176390773405698	solid
EPAS1	EPAS1_PF00989	Common	normal	1.65400271370421	-0.0176390773405698	solid
EPAS1_PF00989	HIF1A_PF08447	Common	normal	1.65400271370421	-0.0176390773405698	arrow
HIF1A_PF08447	HIF1A	Common	normal	1.65400271370421	-0.0176390773405698	solid
PIK3R1	PIK3R1_PF16454	Common	normal	1.18344640434193	0.198371777476255	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	1.18344640434193	0.198371777476255	arrow
STAT3_PF00017	STAT3	Common	normal	1.18344640434193	0.198371777476255	solid
AKT1	AKT1_PF00169	Common	normal	0.613568521031208	0.404613297150611	solid
AKT1_PF00169	PIK3R1_PF00017	Common	normal	0.613568521031208	0.404613297150611	arrow
PIK3R1	PIK3R1_PF00017	Common	normal	0.569877883310719	-0.206241519674356	solid
AKT1_PF00169	PIK3R1_PF00620	Common	normal	0.613568521031208	0.404613297150611	arrow
PIK3R1_PF00620	PIK3R1	Common	normal	0.613568521031208	0.404613297150611	solid
AKT1	AKT1_PF00069	Common	normal	1.93052917232022	-0.0396200814111262	solid
AKT1_PF00069	PIK3R1_PF00017	Common	normal	0.613568521031208	0.404613297150611	arrow
AKT1_PF00069	PIK3R1_PF00620	Common	normal	0.613568521031208	0.404613297150611	arrow
CABLES1	CABLES1_PF00134	Common	normal	0.918588873812754	0.172320217096336	solid
CABLES1_PF00134	AKT1_PF00069	Common	normal	0.918588873812754	0.172320217096336	arrow
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
AKT1_PF00069	RARA_PF00104	Common	normal	1.93052917232022	-0.0396200814111262	arrow
RARA_PF00104	RARA	Common	normal	1.93052917232022	-0.0396200814111262	solid
AKT1_PF00069	RARA_PF00105	Common	normal	1.93052917232022	-0.0396200814111262	arrow
RARA_PF00105	RARA	Common	normal	1.93052917232022	-0.0396200814111262	solid
AKT1_PF00069	SP3_PF00096	Common	normal	1.93052917232022	-0.0396200814111262	arrow
SP3	SP3_PF00096	Common	normal	0.675712347354138	-0.130257801899593	solid
AKT1_PF00069	CREB1_PF00170	Common	normal	1.48792401628223	0.293894165535957	arrow
CREB1	CREB1_PF00170	Common	normal	2	0	solid
CREB1_PF00170	CEBPB_PF07716	Common	normal	2	0	arrow
CEBPB_PF07716	CEBPB	Common	normal	2	0	solid
CREB1_PF00170	CREBBP_PF00439	Common	normal	0.461601085481682	0.192944369063772	arrow
CREBBP	CREBBP_PF00439	Common	normal	1.50149253731343	0.0985074626865672	solid
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
CREBBP_PF02135	TP53_PF18521	Common	normal	1.55793758480326	0.00569877883310721	arrow
TP53_PF18521	TP53	Common	normal	1.55793758480326	0.00569877883310721	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	2	0	arrow
EPAS1_PF08778	EPAS1	Common	normal	2	0	solid
CREBBP_PF00439	ELAVL1_PF00076	Common	normal	1.50149253731343	0.0985074626865672	arrow
