source	target	interaction	splice_status	weight	shade	status
DDB2	DDB2_PF00400	Common	normal	2	0	solid
DDB2_PF00400	EZH2_PF11616	Common	normal	2	0	arrow
EZH2	EZH2_PF11616	Common	normal	0.206896551724138	0	solid
TAF1	TAF1_PF00439	Common	normal	2	0	solid
TAF1_PF00439	MYC_PF00010	Common	normal	1.72413793103448	0	arrow
MYC_PF00010	MYC	Common	normal	1.72413793103448	0	solid
TAF1_PF00439	CCND1_PF00134	Common	normal	2	0	arrow
CCND1	CCND1_PF00134	Common	normal	2	0	solid
TAF1_PF00439	MAX_PF00010	Common	normal	2	0	arrow
MAX_PF00010	MAX	Common	normal	2	0	solid
ZHX3	ZHX3_PF00046	Common	normal	1.86206896551724	0	solid
ZHX3_PF00046	TFAP4_PF00010	Common	normal	1.86206896551724	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	1.86206896551724	0	solid
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	JUND_PF00170	Common	normal	2	0	arrow
JUND_PF00170	JUND	Common	normal	2	0	solid
JDP2_PF00170	JUN_PF00170	Common	normal	1.51724137931034	0	arrow
JUN	JUN_PF00170	Common	normal	0.0344827586206897	0	solid
EZH2	EZH2_PF00856	Common	normal	2	0	solid
EZH2_PF00856	MAZ_PF00096	Common	normal	2	0	arrow
MAZ_PF00096	MAZ	Common	normal	2	0	solid
EZH2_PF00856	FBXW11_PF00400	Common	normal	2	0	arrow
FBXW11	FBXW11_PF00400	Common	normal	2	0	solid
EZH2_PF00856	CHD4_PF00628	Common	normal	1.86206896551724	0	arrow
CHD4	CHD4_PF00628	Common	normal	1.96551724137931	0	solid
EZH2_PF00856	ZNF592_PF00096	Common	normal	2	0	arrow
ZNF592	ZNF592_PF00096	Common	normal	0.0689655172413793	0	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	REL_PF16179	Common	normal	2	0	arrow
REL_PF16179	REL	Common	normal	2	0	solid
SLIRP	SLIRP_PF00076	Common	normal	1.58620689655172	0	solid
SLIRP_PF00076	NFKB1_PF00023	Common	normal	1.58620689655172	0	arrow
NFKB1_PF00023	NFKB1	Common	normal	1.58620689655172	0	solid
FOSL1	FOSL1_PF00170	Common	normal	2	0	solid
FOSL1_PF00170	CEBPG_PF07716	Common	normal	2	0	arrow
CEBPG_PF07716	CEBPG	Common	normal	2	0	solid
FOSL1_PF00170	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
