source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447	Common	normal	1.98	0	solid
EPAS1_PF08447	ARNTL_PF00989	Common	normal	1.98	0	arrow
ARNTL_PF00989	ARNTL	Common	normal	1.98	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2	TFDP2_PF08781	Common	normal	0.68	0	solid
NUDT21	NUDT21_PF13869	Common	normal	1.56	0	solid
NUDT21_PF13869	FUS_PF00076	Common	normal	1.56	0	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	2	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	CDK2_PF00069	Common	normal	1.74	0	arrow
CDK2	CDK2_PF00069	Common	normal	1.82	0	solid
ID2_PF00010	MAPK8_PF00069	Common	normal	1.66	0	arrow
MAPK8	MAPK8_PF00069	Common	normal	1.66	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
ARNT_PF00010	ARNT	Common	normal	2	0	solid
ARID3A	ARID3A_PF01388	Common	normal	1.78	0	solid
ARID3A_PF01388	ELAVL1_PF00076	Common	normal	1.78	0	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
FUS_PF00076	ARID2_PF01388	Common	normal	2	0	arrow
ARID2_PF01388	ARID2	Common	normal	2	0	solid
CREBBP	CREBBP_PF02135	Common	normal	1.98	0	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	1.98	0	arrow
EPAS1_PF08778	EPAS1	Common	normal	1.98	0	solid
E2F1	E2F1_PF16421	Common	normal	2	0	solid
E2F1_PF16421	RB1_PF08934	Common	normal	2	0	arrow
RB1	RB1_PF08934	Common	normal	2	0	solid
RB1_PF08934	E2F4_PF16421	Common	normal	2	0	arrow
E2F4_PF16421	E2F4	Common	normal	2	0	solid
CDK2_PF00069	FOXM1_PF00250	Common	normal	1.82	0	arrow
FOXM1_PF00250	FOXM1	Common	normal	1.82	0	solid
PHIP	PHIP_PF00400	Common	normal	1.86	0	solid
PHIP_PF00400	HBP1_PF00505	Common	normal	1.86	0	arrow
HBP1_PF00505	HBP1	Common	normal	1.86	0	solid
