source	target	interaction	splice_status	weight	shade	status
PIK3R1	PIK3R1_PF16454	Common	normal	1.01785714285714	0.982142857142857	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	1.01785714285714	0.982142857142857	arrow
STAT3_PF00017	STAT3	Common	normal	1.01785714285714	0.982142857142857	solid
AKT1	AKT1_PF00169	Common	normal	1.03571428571429	0.964285714285714	solid
AKT1_PF00169	PIK3R1_PF00017	Network_A	normal	1	1	arrow
PIK3R1	PIK3R1_PF00017	Network_B	normal	0.0178571428571429	-1	solid
AKT1_PF00169	PIK3R1_PF00620	Network_A	normal	1	1	arrow
PIK3R1_PF00620	PIK3R1	Network_A	normal	1	1	solid
AKT1_PF00169	CDK4_PF00069	Common	normal	1.03571428571429	0.964285714285714	arrow
CDK4	CDK4_PF00069	Common	normal	2	0	solid
AKT1	AKT1_PF00069	Common	normal	1.03571428571429	0.964285714285714	solid
AKT1_PF00069	CDK4_PF00069	Common	normal	1.03571428571429	0.964285714285714	arrow
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	ETS1_PF00178	Common	normal	2	0	arrow
ETS1_PF00178	ETS1	Common	normal	2	0	solid
NFKB1	NFKB1_PF16179	Common	normal	2	0	solid
NFKB1_PF16179	ETS1_PF00178	Common	normal	2	0	arrow
NFKB1_PF12796	REL_PF16179	Common	normal	1.77261904761905	0.094047619047619	arrow
REL_PF16179	REL	Common	normal	1.77261904761905	0.094047619047619	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
FOXA2_PF00250	FOXA2	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	2	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	MAPK8_PF00069	Common	normal	1.98214285714286	0.0178571428571429	arrow
MAPK8	MAPK8_PF00069	Common	normal	1.98214285714286	0.0178571428571429	solid
ID2_PF00010	TCF12_PF00010	Common	normal	2	0	arrow
TCF12_PF00010	TCF12	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
ID2_PF00010	RHOU_PF00071	Common	normal	2	0	arrow
RHOU	RHOU_PF00071	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	1.92420634920635	0.0313492063492063	solid
KLF5_PF00096	JUN_PF00170	Common	normal	1.91071428571429	0.0892857142857143	arrow
JUN_PF00170	JUN	Common	normal	1.91071428571429	0.0892857142857143	solid
KLF5_PF00096	FBXW7_PF00400	Common	normal	1.92420634920635	0.0313492063492063	arrow
FBXW7	FBXW7_PF00400	Common	normal	2	0	solid
MAFF	MAFF_PF03131	Common	normal	2	0	solid
MAFF_PF03131	ATF3_PF00170	Common	normal	2	0	arrow
ATF3_PF00170	ATF3	Common	normal	2	0	solid
MAFF_PF03131	BACH2_PF03131	Common	normal	2	0	arrow
BACH2_PF03131	BACH2	Common	normal	2	0	solid
MAFF_PF03131	FOS_PF00170	Common	normal	1.98214285714286	0.0178571428571429	arrow
FOS_PF00170	FOS	Common	normal	1.98214285714286	0.0178571428571429	solid
AKT1_PF00069	MYC_PF00010	Network_A	normal	0.866666666666667	1	arrow
MYC	MYC_PF00010	Network_B	normal	0.0714285714285714	-1	solid
AKT1_PF00069	TBK1_PF18396	Network_A	normal	0.955555555555556	1	arrow
TBK1_PF18396	TBK1	Network_A	normal	0.955555555555556	1	solid
AKT1_PF00169	TBK1_PF00069	Network_A	normal	0.955555555555556	1	arrow
TBK1	TBK1_PF00069	Network_A	normal	0.955555555555556	1	solid
AKT1_PF00069	TBK1_PF00069	Network_A	normal	0.955555555555556	1	arrow
AKT1_PF00069	RARA_PF00104	Network_A	normal	0.977777777777778	1	arrow
RARA_PF00104	RARA	Network_A	normal	0.977777777777778	1	solid
AKT1_PF00069	TEAD2_PF01285	Network_A	normal	0.977777777777778	1	arrow
TEAD2_PF01285	TEAD2	Common	normal	1.02222222222222	-0.977777777777778	solid
AKT1_PF00069	SP3_PF00096	Common	normal	1.03571428571429	0.964285714285714	arrow
SP3	SP3_PF00096	Network_A	normal	0.0222222222222222	1	solid
RHOU_PF00071	LYL1_PF00010	Common	normal	2	0	arrow
LYL1_PF00010	LYL1	Common	normal	2	0	solid
TBK1_PF00069	NFKB1_PF00531	Network_A	normal	0.955555555555556	1	arrow
NFKB1_PF00531	NFKB1	Network_A	normal	0.955555555555556	1	solid
TBK1_PF00069	RELA_PF00554	Network_A	normal	0.933333333333333	1	arrow
RELA	RELA_PF00554	Network_B	normal	0.0892857142857143	-1	solid
CDK4_PF00069	CCND1_PF00134	Common	normal	2	0	arrow
CCND1	CCND1_PF00134	Common	normal	2	0	solid
CDK4_PF00069	CCND1_PF02984	Common	normal	2	0	arrow
CCND1_PF02984	CCND1	Common	normal	2	0	solid
CDK4_PF00069	FOXM1_PF00250	Common	normal	2	0	arrow
FOXM1_PF00250	FOXM1	Common	normal	2	0	solid
PITX1	PITX1_PF00046	Common	normal	2	0	solid
PITX1_PF00046	FOXO1_PF00250	Common	normal	2	0	arrow
FOXO1_PF00250	FOXO1	Common	normal	2	0	solid
PITX1_PF00046	EGR1_PF00096	Common	normal	2	0	arrow
EGR1	EGR1_PF00096	Network_B	normal	0.0178571428571429	-1	solid
PITX1_PF00046	SMAD3_PF03165	Network_A	normal	0.911111111111111	1	arrow
SMAD3_PF03165	SMAD3	Network_A	normal	0.911111111111111	1	solid
PCBD1	PCBD1_PF01329	Common	normal	2	0	solid
PCBD1_PF01329	HNF1A_PF04814	Common	normal	2	0	arrow
HNF1A_PF04814	HNF1A	Common	normal	2	0	solid
