source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447	Common	normal	1.93	-0.03	solid
EPAS1_PF08447	ARNTL_PF00989	Common	normal	1.93	-0.03	arrow
ARNTL_PF00989	ARNTL	Common	normal	1.93	-0.03	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.77	-0.01	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.77	-0.01	solid
DDB2	DDB2_PF00400	Common	normal	2	0	solid
DDB2_PF00400	TCP1_PF00118	Common	normal	2	0	arrow
TCP1	TCP1_PF00118	Common	normal	2	0	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2	TFDP2_PF08781	Common	normal	2	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP2_PF02319	Common	normal	2	0	arrow
TFDP2	TFDP2_PF02319	Common	normal	2	0	solid
TCP1_PF00118	CDC20_PF00400	Common	normal	2	0	arrow
CDC20	CDC20_PF00400	Common	normal	2	0	solid
STAT2	STAT2_PF12188	Common	normal	1.61	0.07	solid
STAT2_PF12188	CREBBP_PF02135	Common	normal	1.61	0.07	arrow
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
FOXA2_PF00250	FOXA2	Common	normal	2	0	solid
CDC20_PF00400	HHEX_PF00046	Common	normal	2	0	arrow
HHEX_PF00046	HHEX	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Network_A	normal	1	1	solid
BRCA1_PF00533	CDK8_PF00069	Network_A	normal	1	1	arrow
CDK8	CDK8_PF00069	Network_A	normal	1	1	solid
BRCA1_PF00533	FUS_PF00076	Network_A	normal	0.96	1	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
BRCA1_PF00533	MAPK3_PF00069	Network_A	normal	0.99	1	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
CREB3L4	CREB3L4_PF00170	Common	normal	2	0	solid
CREB3L4_PF00170	CREM_PF00170	Common	normal	2	0	arrow
CREM_PF00170	CREM	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	1.99	-0.01	solid
KLF5_PF00096	GSK3B_PF00069	Common	normal	0.84	0.68	arrow
GSK3B	GSK3B_PF00069	Common	normal	1.99	-0.01	solid
KLF5_PF00096	RXRA_PF00105	Common	normal	1.99	-0.01	arrow
RXRA_PF00105	RXRA	Common	normal	1.99	-0.01	solid
