source	target	interaction	splice_status	weight	shade	status
HNRNPA0	HNRNPA0_PF00076	Common	normal	2	0	solid
HNRNPA0_PF00076	RECQL4_PF00270	Common	normal	2	0	arrow
RECQL4_PF00270	RECQL4	Common	normal	2	0	solid
HNRNPA0_PF00076	FUS_PF00076	Common	normal	1.94871794871795	0	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
HNRNPA0_PF00076	ELAVL1_PF00076	Common	normal	1.64102564102564	0	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
HNRNPA0_PF00076	NKX3-1_PF00046	Common	normal	2	0	arrow
NKX3-1	NKX3-1_PF00046	Common	normal	2	0	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	CRK_PF00017	Common	normal	2	0	arrow
CRK_PF00017	CRK	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
CRK	CRK_PF00018	Common	normal	2	0	solid
CRK_PF00018	STAT5A_PF00017	Common	normal	2	0	arrow
STAT5A_PF00017	STAT5A	Common	normal	2	0	solid
RECQL4	RECQL4_PF00271	Common	normal	2	0	solid
RECQL4_PF00271	CDK1_PF00069	Common	normal	2	0	arrow
CDK1	CDK1_PF00069	Common	normal	2	0	solid
RECQL4_PF00271	RBBP4_PF00400	Common	normal	2	0	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
NKX3-1_PF00046	SP2_PF00096	Common	normal	2	0	arrow
SP2_PF00096	SP2	Common	normal	2	0	solid
HSP90AA1	HSP90AA1_PF02518	Common	normal	2	0	solid
HSP90AA1_PF02518	TBK1_PF00069	Common	normal	2	0	arrow
TBK1	TBK1_PF00069	Common	normal	2	0	solid
HSP90AA1_PF02518	EPAS1_PF00989	Common	normal	2	0	arrow
