source	target	interaction	splice_status	weight	shade	status
DDB2	DDB2_PF00400	Common	normal	2	0	solid
DDB2_PF00400	EZH2_PF11616	Common	normal	2	0	arrow
EZH2_PF11616	EZH2	Common	normal	2	0	solid
DDB2_PF00400	EZH2_PF00856	Common	normal	2	0	arrow
EZH2	EZH2_PF00856	Common	normal	2	0	solid
DDB2_PF00400	HDAC1_PF00850	Common	normal	2	0	arrow
HDAC1	HDAC1_PF00850	Common	normal	2	0	solid
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	JUND_PF00170	Common	normal	2	0	arrow
JUND_PF00170	JUND	Common	normal	2	0	solid
PPIL4	PPIL4_PF00076	Common	normal	2	0	solid
PPIL4_PF00076	SMAD5_PF03165	Common	normal	2	0	arrow
SMAD5_PF03165	SMAD5	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2	TFDP2_PF08781	Common	normal	0.710382513661202	-0.0437158469945355	solid
EZH2_PF00856	MAZ_PF00096	Common	normal	2	0	arrow
MAZ	MAZ_PF00096	Common	normal	0.807149362477231	-0.668260473588343	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	TBK1_PF00069	Network_A	normal	0.861111111111111	1	arrow
TBK1	TBK1_PF00069	Network_A	normal	0.861111111111111	1	solid
PRKCD	PRKCD_PF00130	Common	normal	2	0	solid
PRKCD_PF00130	STAT3_PF00017	Common	normal	2	0	arrow
STAT3_PF00017	STAT3	Common	normal	2	0	solid
PRKCD_PF00130	STAT1_PF00017	Common	normal	1.17144808743169	0.745218579234973	arrow
STAT1_PF00017	STAT1	Common	normal	1.17144808743169	0.745218579234973	solid
PRKCD	PRKCD_PF00433	Common	normal	1.17144808743169	0.745218579234973	solid
PRKCD_PF00433	STAT1_PF00017	Common	normal	1.17144808743169	0.745218579234973	arrow
PRKCD	PRKCD_PF00069	Common	normal	1.17144808743169	0.745218579234973	solid
PRKCD_PF00069	STAT1_PF00017	Common	normal	1.17144808743169	0.745218579234973	arrow
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	1.95081967213115	0.0491803278688525	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	CDK2_PF00069	Common	normal	2	0	arrow
CDK2	CDK2_PF00069	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
