source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447	Common	normal	0.925948592411261	0.399632802937576	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	0.925948592411261	0.399632802937576	arrow
HIF1A_PF00989	HIF1A	Common	normal	0.925948592411261	0.399632802937576	solid
EPAS1_PF08447	HIF1A_PF08447	Common	normal	0.925948592411261	0.399632802937576	arrow
HIF1A_PF08447	HIF1A	Common	normal	0.925948592411261	0.399632802937576	solid
EPAS1	EPAS1_PF00989	Common	normal	0.925948592411261	0.399632802937576	solid
EPAS1_PF00989	HIF1A_PF00989	Common	normal	0.925948592411261	0.399632802937576	arrow
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	CRK_PF00017(ENST00000300574)	Network_A	spliced	0.965116279069767	1	arrow
CRK	CRK_PF00017(ENST00000300574)	Network_A	normal	1	1	solid
INPPL1_PF00017	CRK_PF00018(ENST00000300574)	Network_A	spliced	0.965116279069767	1	arrow
CRK	CRK_PF00018(ENST00000300574)	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421(ENST00000546212)	Network_A	normal	1	1	solid
E2F6_PF16421(ENST00000546212)	TFDP2_PF08781	Network_A	spliced	1	1	arrow
TFDP2	TFDP2_PF08781	Network_A	normal	0.988372093023256	1	solid
E2F6_PF16421(ENST00000546212)	TFDP1_PF08781(ENST00000375370)	Network_A	spliced	1	1	arrow
TFDP1	TFDP1_PF08781(ENST00000375370)	Network_A	normal	0.0116279069767442	1	solid
E2F6	E2F6_PF02319(ENST00000546212)	Network_A	normal	1	1	solid
E2F6_PF02319(ENST00000546212)	TFDP1_PF02319(ENST00000375370)	Network_A	spliced	1	1	arrow
TFDP1	TFDP1_PF02319(ENST00000375370)	Network_A	normal	0.0116279069767442	1	solid
CRK_PF00018(ENST00000300574)	STAT4_PF00017	Network_A	spliced	1	1	arrow
STAT4_PF00017	STAT4	Network_A	normal	1	1	solid
CRK_PF00017(ENST00000300574)	STAT4_PF00017	Network_A	spliced	1	1	arrow
TFE3	TFE3_PF00010	Common	normal	2	0	solid
TFE3_PF00010	MITF_PF00010	Common	normal	2	0	arrow
MITF_PF00010	MITF	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Common	normal	1.83506731946144	0.0719094247246023	solid
BRCA1_PF00533	MAPK3_PF00069	Common	normal	1.83506731946144	0.0719094247246023	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
BRCA1_PF00533	CDK2_PF00069	Network_A	normal	0.86046511627907	1	arrow
CDK2	CDK2_PF00069	Network_A	normal	0.895348837209302	1	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK8_PF00069	Common	normal	1.77906976744186	-0.220930232558139	arrow
MAPK8	MAPK8_PF00069	Common	normal	2	0	solid
ID2_PF00010	TCF12_PF00010	Common	normal	2	0	arrow
TCF12_PF00010	TCF12	Common	normal	2	0	solid
MAFF	MAFF_PF03131	Common	normal	2	0	solid
MAFF_PF03131	NFE2L1_PF03131	Common	normal	2	0	arrow
NFE2L1_PF03131	NFE2L1	Common	normal	2	0	solid
MAFF_PF03131	BACH2_PF03131	Common	normal	2	0	arrow
BACH2_PF03131	BACH2	Common	normal	2	0	solid
MAFF_PF03131	MAFG_PF03131	Common	normal	2	0	arrow
MAFG_PF03131	MAFG	Common	normal	2	0	solid
AKT1	AKT1_PF00069	Common	normal	1.96511627906977	-0.0348837209302325	solid
AKT1_PF00069	CREBBP_PF00439	Common	normal	0.785801713586291	0.470012239902081	arrow
CREBBP	CREBBP_PF00439	Common	normal	2	0	solid
