source	target	interaction	splice_status	weight	shade	status
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	ATF7_PF00170	Common	normal	2	0	arrow
ATF7_PF00170	ATF7	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
SMAD1	SMAD1_PF03166	Common	normal	2	0	solid
ICK_PF00069	HNRNPL_PF00076	Common	normal	1.10769230769231	0	arrow
HNRNPL	HNRNPL_PF00076	Common	normal	1.90769230769231	0	solid
SALL1	SALL1_PF00096	Common	normal	1.81538461538462	0	solid
SALL1_PF00096	POU5F1_PF00046	Common	normal	1.81538461538462	0	arrow
POU5F1_PF00046	POU5F1	Common	normal	1.81538461538462	0	solid
SALL1_PF00096	FOXJ2_PF00250	Common	normal	1.81538461538462	0	arrow
FOXJ2_PF00250	FOXJ2	Common	normal	1.81538461538462	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	2	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	MAPK8_PF00069	Common	normal	2	0	arrow
MAPK8	MAPK8_PF00069	Common	normal	2	0	solid
ID2_PF00010	TCF12_PF00010	Common	normal	2	0	arrow
TCF12_PF00010	TCF12	Common	normal	2	0	solid
AKT1	AKT1_PF00069	Common	normal	2	0	solid
AKT1_PF00069	HIF1A_PF00989	Common	normal	1.35384615384615	0	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.35384615384615	0	solid
AKT1_PF00069	FUS_PF00076	Common	normal	1.84615384615385	0	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
AKT1_PF00069	TEAD2_PF01285	Common	normal	2	0	arrow
TEAD2	TEAD2_PF01285	Common	normal	2	0	solid
SMAD1_PF03166	PAX6_PF00046	Common	normal	2	0	arrow
PAX6_PF00046	PAX6	Common	normal	2	0	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
ARNT	ARNT_PF00010	Common	normal	0.646153846153846	0	solid
TEAD2_PF01285	TEAD4_PF01285	Common	normal	2	0	arrow
TEAD4_PF01285	TEAD4	Common	normal	2	0	solid
PCBD1	PCBD1_PF01329	Common	normal	2	0	solid
PCBD1_PF01329	HNF1B_PF04814	Common	normal	2	0	arrow
HNF1B_PF04814	HNF1B	Common	normal	2	0	solid
CHD4	CHD4_PF00628	Common	normal	1.93846153846154	0	solid
