source	target	interaction	splice_status	weight	shade	status
EZH2	EZH2_PF00856	Network_A	normal	0.97	1	solid
EZH2_PF00856	MAZ_PF00096	Network_A	normal	0.97	1	arrow
MAZ	MAZ_PF00096	Network_A	normal	0.01	1	solid
CRK	CRK_PF00018(ENST00000398970)	Network_A	normal	1	1	solid
CRK_PF00018(ENST00000398970)	STAT4_PF00017	Network_A	spliced	1	1	arrow
STAT4_PF00017	STAT4	Network_A	normal	1	1	solid
FOSL1	FOSL1_PF00170	Network_A	normal	1	1	solid
FOSL1_PF00170	ATF3_PF00170	Network_A	normal	1	1	arrow
ATF3_PF00170	ATF3	Network_A	normal	1	1	solid
FOSL1_PF00170	JUN_PF00170	Network_A	normal	0.93	1	arrow
JUN_PF00170	JUN	Network_A	normal	0.93	1	solid
FOSL1_PF00170	CEBPA_PF07716(ENST00000498907)	Network_A	spliced	1	1	arrow
CEBPA_PF07716(ENST00000498907)	CEBPA	Network_A	normal	1	1	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
FOXA2_PF00250	FOXA2	Common	normal	2	0	solid
SALL1_PF00096	RBBP7_PF00400	Common	normal	1.69	-0.31	arrow
RBBP7	RBBP7_PF00400	Common	normal	1.81	-0.19	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Network_A	normal	1	1	arrow
MAPK3	MAPK3_PF00069	Network_A	normal	1	1	solid
ID2_PF00010	TCF12_PF00010	Common	normal	2	0	arrow
TCF12_PF00010	TCF12	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Network_A	normal	1	1	arrow
SREBF1_PF00010	SREBF1	Network_A	normal	1	1	solid
KLF5	KLF5_PF00096	Network_A	normal	0.99	1	solid
KLF5_PF00096	HDAC2_PF00850(ENST00000519065)	Network_A	spliced	0.31	1	arrow
HDAC2	HDAC2_PF00850(ENST00000519065)	Network_A	normal	0.38	1	solid
KLF5_PF00096	GSK3B_PF00069	Network_A	normal	0.99	1	arrow
GSK3B	GSK3B_PF00069	Network_A	normal	1	1	solid
AKT1	AKT1_PF00069	Network_A	normal	0.99	1	solid
AKT1_PF00069	FOXO4_PF00250(ENST00000374259)	Network_A	spliced	0.99	1	arrow
FOXO4_PF00250(ENST00000374259)	FOXO4	Network_A	normal	0.99	1	solid
