source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Network_A	normal	0.727272727272727	1	solid
H3F3A_PF00125	RBBP4_PF00400	Network_A	normal	0.727272727272727	1	arrow
RBBP4	RBBP4_PF00400	Network_A	normal	1	1	solid
NR3C1	NR3C1_PF00105	Network_A	normal	1	1	solid
NR3C1_PF00105	ZFX_PF00096	Network_A	normal	1	1	arrow
ZFX_PF00096	ZFX	Network_A	normal	1	1	solid
NR3C1_PF00105	ONECUT1_PF00046	Network_A	normal	1	1	arrow
ONECUT1_PF00046	ONECUT1	Network_A	normal	1	1	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
E2F6_PF16421	TFDP1_PF08781	Common	normal	2	0	arrow
TFDP1_PF08781	TFDP1	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Network_A	normal	1	1	arrow
MAPK3	MAPK3_PF00069	Network_A	normal	1	1	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
BPTF	BPTF_PF00439	Network_A	normal	1	1	solid
BPTF_PF00439	MAZ_PF00096	Network_A	normal	1	1	arrow
MAZ	MAZ_PF00096	Network_A	normal	1	1	solid
NPAS2	NPAS2_PF14598	Common	normal	1.94181818181818	0.0218181818181818	solid
NPAS2_PF14598	CLOCK_PF00989	Common	normal	1.94181818181818	0.0218181818181818	arrow
CLOCK_PF00989	CLOCK	Common	normal	1.94181818181818	0.0218181818181818	solid
NPAS2_PF14598	CLOCK_PF14598	Common	normal	1.94181818181818	0.0218181818181818	arrow
CLOCK_PF14598	CLOCK	Common	normal	1.94181818181818	0.0218181818181818	solid
PCBD1	PCBD1_PF01329(ENST00000299299)	Network_A	normal	1	1	solid
PCBD1_PF01329(ENST00000299299)	HNF1A_PF04814	Network_A	spliced	1	1	arrow
HNF1A_PF04814	HNF1A	Network_A	normal	1	1	solid
MTA3	MTA3_PF00320	Network_A	normal	0.945454545454545	1	solid
MTA3_PF00320	GATAD2B_PF00320	Network_A	normal	0.945454545454545	1	arrow
GATAD2B_PF00320	GATAD2B	Network_A	normal	0.945454545454545	1	solid
MAZ_PF00096	GSK3B_PF00069	Network_A	normal	1	1	arrow
GSK3B	GSK3B_PF00069	Common	normal	2	0	solid
RBBP4_PF00400	SP3_PF00096	Network_A	normal	1	1	arrow
SP3_PF00096	SP3	Network_A	normal	1	1	solid
RBBP4_PF00400	ELAVL1_PF00076	Network_A	normal	0.6	1	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
RBBP4_PF00400	BPTF_PF00628	Network_A	normal	0.709090909090909	1	arrow
BPTF_PF00628	BPTF	Network_A	normal	0.709090909090909	1	solid
RBBP4_PF00400	FUS_PF00076	Network_A	normal	1	1	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
RBBP4_PF00400	MTA3_PF17226	Network_A	normal	0.945454545454545	1	arrow
MTA3_PF17226	MTA3	Network_A	normal	0.945454545454545	1	solid
RBBP4	RBBP4_PF12265	Network_A	normal	0.945454545454545	1	solid
RBBP4_PF12265	MTA3_PF17226	Network_A	normal	0.945454545454545	1	arrow
GATAD2B	GATAD2B_PF16563	Network_A	normal	1	1	solid
GATAD2B_PF16563	MBD2_PF14048(ENST00000256429)	Network_A	spliced	1	1	arrow
MBD2_PF14048(ENST00000256429)	MBD2	Network_A	normal	1	1	solid
FUS_PF00076	ARID2_PF01388	Common	normal	2	0	arrow
ARID2_PF01388	ARID2	Common	normal	2	0	solid
SAMD4A	SAMD4A_PF00536	Common	normal	1.84	0.16	solid
SAMD4A_PF00536	INPPL1_PF00536	Common	normal	1.84	0.16	arrow
INPPL1_PF00536	INPPL1	Common	normal	1.84	0.16	solid
E2F1	E2F1_PF16421	Network_A	normal	1	1	solid
E2F1_PF16421	RB1_PF08934(ENST00000267163)	Network_A	spliced	1	1	arrow
RB1	RB1_PF08934(ENST00000267163)	Network_A	normal	1	1	solid
RB1_PF08934(ENST00000267163)	E2F4_PF16421	Network_A	spliced	1	1	arrow
E2F4_PF16421	E2F4	Network_A	normal	1	1	solid
GABPB1	GABPB1_PF12796	Common	normal	2	0	solid
GABPB1_PF12796	GABPA_PF00178	Common	normal	2	0	arrow
GABPA_PF00178	GABPA	Common	normal	2	0	solid
GSK3B_PF00069	NCOA3_PF00989	Common	normal	2	0	arrow
NCOA3_PF00989	NCOA3	Common	normal	2	0	solid
GSK3B_PF00069	JUN_PF00170	Common	normal	1.78181818181818	-0.218181818181818	arrow
JUN_PF00170	JUN	Common	normal	1.78181818181818	-0.218181818181818	solid
GSK3B_PF00069	FOXM1_PF00250	Common	normal	2	0	arrow
FOXM1_PF00250	FOXM1	Common	normal	2	0	solid
MAPK3_PF00069	SREBF2_PF00010(ENST00000361204)	Network_A	spliced	1	1	arrow
SREBF2_PF00010(ENST00000361204)	SREBF2	Network_A	normal	1	1	solid
ELAVL1_PF00076	KLF9_PF00096	Common	normal	2	0	arrow
KLF9_PF00096	KLF9	Common	normal	2	0	solid
ELAVL1_PF00076	PPP1CA_PF00149	Common	normal	1.16909090909091	0.249090909090909	arrow
PPP1CA	PPP1CA_PF00149	Common	normal	2	0	solid
NCOA3	NCOA3_PF16279	Common	normal	2	0	solid
NCOA3_PF16279	NR0B2_PF00104	Network_A	normal	1	1	arrow
NR0B2	NR0B2_PF00104	Network_A	normal	1	1	solid
NCOA3_PF16279	NR2F1_PF00104	Common	normal	2	0	arrow
NR2F1_PF00104	NR2F1	Common	normal	2	0	solid
PPP1CA_PF00149	ZBTB11_PF00096	Common	normal	2	0	arrow
ZBTB11_PF00096	ZBTB11	Common	normal	2	0	solid
NR0B2_PF00104	NR3C1_PF02155	Network_A	normal	1	1	arrow
NR3C1_PF02155	NR3C1	Network_A	normal	1	1	solid
NR0B2_PF00104	NR3C1_PF00104	Network_A	normal	1	1	arrow
NR3C1_PF00104	NR3C1	Network_A	normal	1	1	solid
NR0B2_PF00104	SMAD4_PF03166	Network_A	normal	1	1	arrow
SMAD4_PF03166	SMAD4	Network_A	normal	1	1	solid
TFDP2	TFDP2_PF02319	Common	normal	2	0	solid
TFDP2_PF02319	E2F1_PF02319	Common	normal	2	0	arrow
E2F1_PF02319	E2F1	Common	normal	2	0	solid
NCOA3	NCOA3_PF14598	Common	normal	1.94181818181818	0.0218181818181818	solid
NCOA3_PF14598	NPAS2_PF00989	Common	normal	1.94181818181818	0.0218181818181818	arrow
NPAS2_PF00989	NPAS2	Common	normal	1.94181818181818	0.0218181818181818	solid
TFDP1	TFDP1_PF02319	Common	normal	1.11818181818182	0.118181818181818	solid
TFDP1_PF02319	E2F2_PF02319	Common	normal	1.11818181818182	0.118181818181818	arrow
E2F2_PF02319	E2F2	Common	normal	1.11818181818182	0.118181818181818	solid
Perturbation	Perturbation_Perturbation	Common	normal	2	0	solid
Perturbation_Perturbation	H3F3A_PF00125	Network_A	normal	0.836363636363636	1	arrow
Perturbation_Perturbation	E2F6_PF16421	Common	normal	2	0	arrow
Perturbation_Perturbation	ID2_PF00010	Common	normal	2	0	arrow
Perturbation_Perturbation	PCBD1_PF01329(ENST00000299299)	Network_A	spliced	1	1	arrow
Perturbation_Perturbation	SAMD4A_PF00536	Common	normal	1.84	0.16	arrow
Perturbation_Perturbation	SNAPC4_PF00249	Common	normal	2	0	arrow
SNAPC4_PF00249	SNAPC4	Common	normal	2	0	solid
Perturbation_Perturbation	GABPB1_PF12796	Common	normal	2	0	arrow
Perturbation_Perturbation	MEF2A_PF00319	Common	normal	2	0	arrow
MEF2A_PF00319	MEF2A	Common	normal	2	0	solid
GSK3B_PF00069	PPP1CA_PF00149	Common	normal	0.450909090909091	0.130909090909091	arrow
TFDP2_PF02319	E2F2_PF02319	Common	normal	0.881818181818182	-0.118181818181818	arrow
GSK3B_PF00069	ELAVL1_PF00076	Common	normal	0.770909090909091	-0.589090909090909	arrow
MAPK3_PF00069	JUN_PF00170	Network_A	normal	0.2	1	arrow
NR3C1_PF00105	ELAVL1_PF00076	Network_A	normal	0.254545454545455	1	arrow
H3F3A_PF00125	BPTF_PF00439	Network_A	normal	0.290909090909091	1	arrow
H3F3A_PF00125	BPTF_PF00628	Network_A	normal	0.290909090909091	1	arrow
FUS_PF00076	ELAVL1_PF00076	Common	normal	0.374545454545455	-0.265454545454545	arrow
PRDM16	PRDM16_PF00096	Network_A	normal	0.0909090909090909	1	solid
PRDM16_PF00096	RBBP4_PF00400	Network_A	normal	0.0909090909090909	1	arrow
Perturbation_Perturbation	PRDM16_PF00096	Network_A	normal	0.0909090909090909	1	arrow
RBBP4_PF12265	MTA1_PF17226	Network_A	normal	0.0181818181818182	1	arrow
MTA1_PF17226	MTA1	Network_A	normal	0.0181818181818182	1	solid
MTA1	MTA1_PF00320	Network_A	normal	0.0181818181818182	1	solid
MTA1_PF00320	GATAD2B_PF00320	Network_A	normal	0.0181818181818182	1	arrow
