source	target	interaction	splice_status	weight	shade	status
PPIL4	PPIL4_PF00076	Common	normal	0.767873303167421	0.709049773755656	solid
PPIL4_PF00076	FUS_PF00076	Common	normal	0.767873303167421	0.709049773755656	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2	TFDP2_PF08781	Common	normal	2	0	solid
RECQL4	RECQL4_PF00271	Common	normal	1.97058823529412	0.0294117647058824	solid
RECQL4_PF00271	CDK1_PF00069	Common	normal	1.97058823529412	0.0294117647058824	arrow
CDK1	CDK1_PF00069	Common	normal	2	0	solid
RECQL4_PF00271	WDR26_PF00400	Common	normal	0.829411764705882	0.770588235294118	arrow
WDR26	WDR26_PF00400	Common	normal	0.829411764705882	0.770588235294118	solid
RECQL4_PF00271	GSK3B_PF00069	Common	normal	1.33619909502262	0.571493212669683	arrow
GSK3B	GSK3B_PF00069	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
HOXC9	HOXC9_PF00046	Common	normal	2	0	solid
HOXC9_PF00046	ZNF384_PF00096	Common	normal	2	0	arrow
ZNF384_PF00096	ZNF384	Common	normal	2	0	solid
CDK1_PF00069	CUX1_PF00046	Common	normal	2	0	arrow
CUX1_PF00046	CUX1	Common	normal	2	0	solid
CDK1_PF00069	FOXA1_PF00250	Common	normal	2	0	arrow
FOXA1_PF00250	FOXA1	Common	normal	2	0	solid
KMT2A	KMT2A_PF00628	Common	normal	1.51990950226244	0.0493212669683257	solid
KMT2A_PF00628	HDAC2_PF00850	Common	normal	0.997285067873303	0.879638009049774	arrow
HDAC2	HDAC2_PF00850	Common	normal	0.997285067873303	0.879638009049774	solid
KMT2A_PF00628	CREBBP_PF00439	Common	normal	1.51990950226244	0.0493212669683257	arrow
CREBBP	CREBBP_PF00439	Common	normal	0.104977375565611	-0.0126696832579185	solid
PCBD1	PCBD1_PF01329	Common	normal	2	0	solid
PCBD1_PF01329	HNF1A_PF04814	Common	normal	2	0	arrow
HNF1A_PF04814	HNF1A	Common	normal	2	0	solid
AHRR	AHRR_PF00010	Common	normal	2	0	solid
AHRR_PF00010	ARNT_PF00010	Common	normal	2	0	arrow
ARNT_PF00010	ARNT	Common	normal	2	0	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00989	Common	normal	2	0	arrow
ARNT	ARNT_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
AHRR_PF00989	ARNT_PF14598	Common	normal	2	0	arrow
ARNT	ARNT_PF14598	Common	normal	2	0	solid
HDAC2_PF00850	KLF4_PF00096	Common	normal	0.997285067873303	0.879638009049774	arrow
KLF4	KLF4_PF00096	Common	normal	0.151131221719457	0.0334841628959276	solid
FUS_PF00076	RECQL4_PF00270	Common	normal	0.644796380090498	0.585972850678733	arrow
RECQL4_PF00270	RECQL4	Common	normal	0.691855203619909	-0.661085972850679	solid
FUS_PF00076	ARID2_PF01388	Common	normal	2	0	arrow
ARID2_PF01388	ARID2	Common	normal	2	0	solid
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	2	0	arrow
EPAS1_PF08778	EPAS1	Common	normal	2	0	solid
ARNT_PF14598	AHR_PF00989	Common	normal	2	0	arrow
AHR_PF00989	AHR	Common	normal	2	0	solid
ARNT_PF14598	HIF1A_PF00989	Common	normal	1.55203619909502	0.14027149321267	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.55203619909502	0.14027149321267	solid
GABPB1	GABPB1_PF12796	Common	normal	2	0	solid
GABPB1_PF12796	GABPA_PF00178	Common	normal	2	0	arrow
GABPA_PF00178	GABPA	Common	normal	2	0	solid
GSK3B_PF00069	FOXO1_PF00250	Common	normal	2	0	arrow
FOXO1_PF00250	FOXO1	Common	normal	2	0	solid
GSK3B_PF00069	FBXW7_PF00400	Common	normal	1.94117647058824	0.0588235294117647	arrow
FBXW7	FBXW7_PF00400	Common	normal	2	0	solid
GSK3B_PF00069	JUN_PF00170	Common	normal	2	0	arrow
JUN_PF00170	JUN	Common	normal	2	0	solid
ARNT_PF00989	HNF4A_PF00104	Common	normal	2	0	arrow
HNF4A_PF00104	HNF4A	Common	normal	2	0	solid
FBXW7_PF00400	SOX9_PF00505	Common	normal	2	0	arrow
SOX9_PF00505	SOX9	Common	normal	2	0	solid
FBXW7_PF00400	KMT2A_PF00856	Common	normal	1.91176470588235	0.0882352941176471	arrow
KMT2A_PF00856	KMT2A	Common	normal	1.91176470588235	0.0882352941176471	solid
CREBBP	CREBBP_PF02172	Common	normal	2	0	solid
CREBBP_PF02172	FOXO3_PF16675	Common	normal	2	0	arrow
FOXO3_PF16675	FOXO3	Common	normal	2	0	solid
CREBBP_PF02172	FOXO4_PF16676	Common	normal	2	0	arrow
FOXO4_PF16676	FOXO4	Common	normal	2	0	solid
TFDP2_PF08781	E2F5_PF16421	Common	normal	2	0	arrow
E2F5_PF16421	E2F5	Common	normal	2	0	solid
