source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447	Common	normal	1.49705882352941	-0.202941176470588	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.49705882352941	-0.202941176470588	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.49705882352941	-0.202941176470588	solid
EPAS1_PF08447	HIF1A_PF08447	Common	normal	1.49705882352941	-0.202941176470588	arrow
HIF1A_PF08447	HIF1A	Common	normal	1.49705882352941	-0.202941176470588	solid
EPAS1	EPAS1_PF00989	Common	normal	1.49705882352941	-0.202941176470588	solid
EPAS1_PF00989	HIF1A_PF00989	Common	normal	1.49705882352941	-0.202941176470588	arrow
DDB2	DDB2_PF00400	Common	normal	2	0	solid
DDB2_PF00400	TCP1_PF00118	Common	normal	2	0	arrow
TCP1	TCP1_PF00118	Common	normal	2	0	solid
PEA15	PEA15_PF01335	Network_A	normal	0.588235294117647	1	solid
PEA15_PF01335	MAPK3_PF00069(ENST00000263025)	Network_A	spliced	0.588235294117647	1	arrow
MAPK3	MAPK3_PF00069(ENST00000263025)	Network_A	normal	1	1	solid
E2F6	E2F6_PF16421	Network_A	normal	1	1	solid
E2F6_PF16421	TFDP2_PF08781	Network_A	normal	1	1	arrow
TFDP2	TFDP2_PF08781	Network_A	normal	1	1	solid
TCP1_PF00118	MAPK8_PF00069	Common	normal	1.44313725490196	0.243137254901961	arrow
MAPK8	MAPK8_PF00069	Common	normal	1.44313725490196	0.243137254901961	solid
TCP1_PF00118	CDC20_PF00400	Common	normal	2	0	arrow
CDC20	CDC20_PF00400	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	1.75274509803922	-0.0272549019607843	solid
NFKB1_PF12796	REL_PF16179	Common	normal	1.75274509803922	-0.0272549019607843	arrow
REL_PF16179	REL	Common	normal	1.75274509803922	-0.0272549019607843	solid
NFKB1	NFKB1_PF16179	Common	normal	1.75274509803922	-0.0272549019607843	solid
NFKB1_PF16179	REL_PF16179	Common	normal	1.75274509803922	-0.0272549019607843	arrow
CDC20_PF00400	HHEX_PF00046	Common	normal	2	0	arrow
HHEX_PF00046	HHEX	Common	normal	2	0	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
ARNT	ARNT_PF00010	Common	normal	0.187647058823529	0.0476470588235294	solid
CREBBP	CREBBP_PF02135	Common	normal	1.79	0.21	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	1.79	0.21	arrow
EPAS1_PF08778	EPAS1	Common	normal	1.79	0.21	solid
PHIP	PHIP_PF00400	Common	normal	1.47078431372549	0.45078431372549	solid
PHIP_PF00400	HBP1_PF00505	Common	normal	1.47078431372549	0.45078431372549	arrow
HBP1_PF00505	HBP1	Common	normal	1.47078431372549	0.45078431372549	solid
MAPK8_PF00069	ATF2_PF00170	Common	normal	1.44313725490196	0.243137254901961	arrow
ATF2_PF00170	ATF2	Common	normal	1.44313725490196	0.243137254901961	solid
MAPK3_PF00069(ENST00000263025)	FOXP2_PF00250	Network_A	spliced	1	1	arrow
FOXP2_PF00250	FOXP2	Network_A	normal	1	1	solid
MAPK3_PF00069(ENST00000263025)	CREBBP_PF00439	Network_A	spliced	0.725490196078431	1	arrow
CREBBP	CREBBP_PF00439	Common	normal	0.909411764705882	0.149411764705882	solid
CREBBP_PF00439	MYC_PF00010	Common	normal	0.909411764705882	0.149411764705882	arrow
MYC	MYC_PF00010	Common	normal	1.47078431372549	0.45078431372549	solid
CREBBP	CREBBP_PF02172	Network_A	normal	1	1	solid
CREBBP_PF02172	FOXO3_PF16675(ENST00000343882)	Network_A	spliced	1	1	arrow
FOXO3_PF16675(ENST00000343882)	FOXO3	Network_A	normal	1	1	solid
CREBBP_PF02172	FOXO4_PF16676(ENST00000374259)	Network_A	spliced	1	1	arrow
FOXO4_PF16676(ENST00000374259)	FOXO4	Network_A	normal	1	1	solid
MYC_PF00010	PHIP_PF00439	Common	normal	1.47078431372549	0.45078431372549	arrow
PHIP_PF00439	PHIP	Common	normal	1.47078431372549	0.45078431372549	solid
TFDP2_PF08781	E2F5_PF16421(ENST00000416274)	Network_A	spliced	1	1	arrow
E2F5_PF16421(ENST00000416274)	E2F5	Network_A	normal	1	1	solid
UNC5CL	UNC5CL_PF00791	Common	normal	1.21235294117647	0.55235294117647	solid
UNC5CL_PF00791	NFKB1_PF00531	Common	normal	1.21235294117647	0.55235294117647	arrow
NFKB1_PF00531	NFKB1	Common	normal	1.21235294117647	0.55235294117647	solid
UNC5CL	UNC5CL_PF00531	Common	normal	1.21235294117647	0.55235294117647	solid
UNC5CL_PF00531	NFKB1_PF00531	Common	normal	1.21235294117647	0.55235294117647	arrow
UNC5CL_PF00531	NFKB1_PF00023	Common	normal	1.21235294117647	0.55235294117647	arrow
NFKB1_PF00023	NFKB1	Common	normal	1.21235294117647	0.55235294117647	solid
Perturbation	Perturbation_Perturbation	Common	normal	2	0	solid
Perturbation_Perturbation	DDB2_PF00400	Common	normal	2	0	arrow
Perturbation_Perturbation	PEA15_PF01335	Network_A	normal	0.588235294117647	1	arrow
Perturbation_Perturbation	E2F6_PF16421	Network_A	normal	1	1	arrow
Perturbation_Perturbation	HNF4G_PF00104(ENST00000396423)	Network_A	spliced	1	1	arrow
HNF4G_PF00104(ENST00000396423)	HNF4G	Network_A	normal	1	1	solid
Perturbation_Perturbation	AHRR_PF00989	Common	normal	2	0	arrow
Perturbation_Perturbation	ARID3A_PF01388	Common	normal	2	0	arrow
ARID3A_PF01388	ARID3A	Common	normal	2	0	solid
Perturbation_Perturbation	UNC5CL_PF00791	Common	normal	1.21235294117647	0.55235294117647	arrow
Perturbation_Perturbation	SOX13_PF00505	Common	normal	2	0	arrow
SOX13_PF00505	SOX13	Common	normal	2	0	solid
MAPK8_PF00069	DUSP4_PF00782	Network_A	normal	0.0980392156862745	1	arrow
DUSP4	DUSP4_PF00782	Network_A	normal	0.0980392156862745	1	solid
DUSP4	DUSP4_PF00581	Network_A	normal	0.0980392156862745	1	solid
DUSP4_PF00581	MAPK3_PF00069(ENST00000263025)	Network_A	spliced	0.0980392156862745	1	arrow
