source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	1.29411764705882	-0.705882352941176	solid
H3F3A_PF00125	RBBP4_PF00400(ENST00000458695)	Network_A	spliced	0.558823529411765	1	arrow
RBBP4	RBBP4_PF00400(ENST00000458695)	Network_A	normal	0.970588235294118	1	solid
EPAS1	EPAS1_PF08447	Common	normal	2	0	solid
EPAS1_PF08447	ARNTL_PF00989	Common	normal	2	0	arrow
ARNTL_PF00989	ARNTL	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
SMAD1	SMAD1_PF03166	Common	normal	2	0	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
FOXA2_PF00250	FOXA2	Common	normal	2	0	solid
RBBP4	RBBP4_PF12265(ENST00000458695)	Network_A	normal	0.970588235294118	1	solid
RBBP4_PF12265(ENST00000458695)	MTA2_PF17226	Network_A	spliced	0.970588235294118	1	arrow
MTA2_PF17226	MTA2	Network_A	normal	0.970588235294118	1	solid
RBBP4_PF00400(ENST00000458695)	MTA2_PF17226	Network_A	spliced	0.970588235294118	1	arrow
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	TCF12_PF00010	Common	normal	2	0	arrow
TCF12_PF00010	TCF12	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4_PF03166	SMAD4	Common	normal	2	0	solid
KLF5_PF00096	CREBBP_PF00439	Common	normal	1.8109243697479	-0.046218487394958	arrow
CREBBP	CREBBP_PF00439	Common	normal	1.41386554621849	0.0567226890756303	solid
BPTF	BPTF_PF00439	Common	normal	2	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	2	0	arrow
MAZ	MAZ_PF00096	Common	normal	0.195378151260504	-0.0189075630252101	solid
BPTF_PF00439	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
SMAD1_PF03166	CDK8_PF00069	Common	normal	2	0	arrow
CDK8	CDK8_PF00069	Common	normal	2	0	solid
SMAD1_PF03166	CDK7_PF00069	Common	normal	1.71008403361345	-0.00420168067226889	arrow
CDK7	CDK7_PF00069	Common	normal	1.90546218487395	-0.023109243697479	solid
HNF4G	HNF4G_PF00104	Common	normal	2	0	solid
HNF4G_PF00104	NCOA1_PF00989	Common	normal	2	0	arrow
NCOA1	NCOA1_PF00989	Common	normal	0.289915966386555	0.00420168067226892	solid
MTA2	MTA2_PF00320	Common	normal	1.04201680672269	0.899159663865546	solid
MTA2_PF00320	GATAD2B_PF00320	Common	normal	1.04201680672269	0.899159663865546	arrow
GATAD2B_PF00320	GATAD2B	Common	normal	1.04201680672269	0.899159663865546	solid
PCBD1	PCBD1_PF01329	Common	normal	2	0	solid
PCBD1_PF01329	HNF1A_PF04814	Common	normal	2	0	arrow
HNF1A_PF04814	HNF1A	Common	normal	2	0	solid
CDK8_PF00069	SMAD5_PF03166	Common	normal	2	0	arrow
SMAD5_PF03166	SMAD5	Common	normal	2	0	solid
CDK8_PF00069	EHMT2_PF12796(ENST00000375530)	Network_A	spliced	1	1	arrow
EHMT2_PF12796(ENST00000375530)	EHMT2	Network_A	normal	1	1	solid
NCOA1	NCOA1_PF00010	Common	normal	2	0	solid
NCOA1_PF00010	AHR_PF00989	Common	normal	2	0	arrow
AHR	AHR_PF00989	Common	normal	1.93487394957983	0.00630252100840334	solid
NCOA1_PF00010	NCOA3_PF00989	Common	normal	1.76890756302521	0.0546218487394958	arrow
NCOA3_PF00989	NCOA3	Common	normal	1.76890756302521	0.0546218487394958	solid
RBBP4_PF00400(ENST00000458695)	BPTF_PF00628	Network_A	spliced	0.705882352941177	1	arrow
BPTF_PF00628	BPTF	Common	normal	1.29411764705882	-0.705882352941176	solid
RBBP4_PF00400(ENST00000458695)	FUS_PF00076	Network_A	spliced	0.941176470588235	1	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
GATAD2B	GATAD2B_PF16563	Common	normal	2	0	solid
GATAD2B_PF16563	MBD2_PF14048	Common	normal	2	0	arrow
MBD2_PF14048	MBD2	Common	normal	2	0	solid
FUS_PF00076	FBXW11_PF00400	Network_A	normal	1	1	arrow
FBXW11	FBXW11_PF00400	Network_A	normal	1	1	solid
FUS_PF00076	ARID2_PF01388	Common	normal	2	0	arrow
ARID2_PF01388	ARID2	Common	normal	2	0	solid
CDK7_PF00069	CUX1_PF00046	Common	normal	1.90546218487395	-0.023109243697479	arrow
CUX1_PF00046	CUX1	Common	normal	1.90546218487395	-0.023109243697479	solid
PDE8A	PDE8A_PF00989	Common	normal	2	0	solid
PDE8A_PF00989	NR1H3_PF00105	Common	normal	2	0	arrow
NR1H3	NR1H3_PF00105	Common	normal	1.71008403361345	-0.00420168067226889	solid
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	2	0	arrow
EPAS1_PF08778	EPAS1	Common	normal	2	0	solid
E2F1	E2F1_PF16421	Network_A	normal	1	1	solid
