source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447(ENST00000263734)	Network_A	normal	0.772151898734177	1	solid
EPAS1_PF08447(ENST00000263734)	HIF1A_PF00989	Network_A	spliced	0.772151898734177	1	arrow
HIF1A_PF00989	HIF1A	Network_A	normal	0.772151898734177	1	solid
DDB2	DDB2_PF00400(ENST00000256996)	Network_A	normal	1	1	solid
DDB2_PF00400(ENST00000256996)	TCP1_PF00118(ENST00000321394_ENST00000420894_ENST00000392168)	Network_A	spliced	1	1	arrow
TCP1	TCP1_PF00118(ENST00000321394_ENST00000420894_ENST00000392168)	Network_A	normal	1	1	solid
PIK3R1	PIK3R1_PF16454	Common	normal	2	0	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	2	0	arrow
STAT3_PF00017	STAT3	Common	normal	2	0	solid
PIK3R1_PF16454	INPPL1_PF00017	Common	normal	2	0	arrow
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
PIK3R1	PIK3R1_PF00620	Common	normal	2	0	solid
PIK3R1_PF00620	INPPL1_PF03372	Common	normal	2	0	arrow
INPPL1_PF03372	INPPL1	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
AKT1	AKT1_PF00169	Network_A	normal	1	1	solid
AKT1_PF00169	PIK3R1_PF00017	Network_A	normal	1	1	arrow
PIK3R1_PF00017	PIK3R1	Network_A	normal	1	1	solid
AKT1_PF00169	PIK3R1_PF00620	Network_A	normal	1	1	arrow
AKT1_PF00169	CDK4_PF00069(ENST00000547281)	Network_A	spliced	1	1	arrow
CDK4	CDK4_PF00069(ENST00000547281)	Network_A	normal	1	1	solid
AKT1	AKT1_PF00069	Network_A	normal	1	1	solid
AKT1_PF00069	CDK4_PF00069(ENST00000547281)	Network_A	spliced	1	1	arrow
TCP1_PF00118(ENST00000321394_ENST00000420894_ENST00000392168)	CDC20_PF00400	Network_A	spliced	1	1	arrow
CDC20	CDC20_PF00400	Network_A	normal	1	1	solid
STAT2	STAT2_PF12188	Network_A	normal	0.607594936708861	1	solid
STAT2_PF12188	CREBBP_PF02135	Network_A	normal	0.607594936708861	1	arrow
CREBBP	CREBBP_PF02135	Network_A	normal	1	1	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
