source	target	interaction	splice_status	weight	shade	status
DDB2	DDB2_PF00400(ENST00000256996)	Network_A	normal	1	1	solid
DDB2_PF00400(ENST00000256996)	TCP1_PF00118	Network_A	spliced	1	1	arrow
TCP1	TCP1_PF00118	Network_A	normal	1	1	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
E2F6_PF16421	TFDP1_PF08781	Common	normal	2	0	arrow
TFDP1_PF08781	TFDP1	Common	normal	2	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP1_PF02319	Common	normal	2	0	arrow
TFDP1	TFDP1_PF02319	Common	normal	1.20126227208976	-0.233520336605891	solid
AKT1	AKT1_PF00169	Common	normal	1.78260869565217	0.217391304347826	solid
AKT1_PF00169	MAPK14_PF00069	Common	normal	1.78260869565217	0.217391304347826	arrow
MAPK14	MAPK14_PF00069	Common	normal	2	0	solid
AKT1	AKT1_PF00069	Common	normal	2	0	solid
AKT1_PF00069	MAPK14_PF00069	Common	normal	1.78260869565217	0.217391304347826	arrow
TCP1_PF00118	CDC20_PF00400(ENST00000310955)	Network_A	spliced	1	1	arrow
CDC20	CDC20_PF00400(ENST00000310955)	Network_A	normal	1	1	solid
TCP1_PF00118	GSK3B_PF00069	Network_A	normal	0.806451612903226	1	arrow
GSK3B	GSK3B_PF00069	Network_A	normal	0.903225806451613	1	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
FOXA2_PF00250	FOXA2	Common	normal	2	0	solid
CDC20_PF00400(ENST00000310955)	HHEX_PF00046	Network_A	spliced	1	1	arrow
HHEX_PF00046	HHEX	Network_A	normal	1	1	solid
HSP90AA1	HSP90AA1_PF02518	Common	normal	1.93478260869565	0.0652173913043478	solid
HSP90AA1_PF02518	ARNTL_PF00989	Common	normal	1.93478260869565	0.0652173913043478	arrow
ARNTL_PF00989	ARNTL	Common	normal	1.93478260869565	0.0652173913043478	solid
HSP90AA1_PF02518	CDK1_PF00069	Common	normal	0.507713884992987	0.0729312762973352	arrow
CDK1	CDK1_PF00069	Common	normal	1.27349228611501	0.403927068723703	solid
MAFF	MAFF_PF03131	Network_A	normal	1	1	solid
MAFF_PF03131	NFE2L1_PF03131(ENST00000362042)	Network_A	spliced	1	1	arrow
NFE2L1_PF03131(ENST00000362042)	NFE2L1	Network_A	normal	1	1	solid
AKT1_PF00069	MYC_PF00010	Common	normal	1.70827489481066	-0.0308555399719495	arrow
MYC_PF00010	MYC	Common	normal	1.70827489481066	-0.0308555399719495	solid
AKT1_PF00069	FOXO3_PF00250	Common	normal	2	0	arrow
FOXO3_PF00250	FOXO3	Common	normal	2	0	solid
AKT1_PF00069	FOXO4_PF00250	Common	normal	2	0	arrow
FOXO4_PF00250	FOXO4	Common	normal	2	0	solid
AKT1_PF00069	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4	SMAD4_PF03166	Common	normal	0.434081346423562	-0.305049088359046	solid
AKT1_PF00069	HSP90AA1_PF00183	Common	normal	0.723702664796634	0.115007012622721	arrow
HSP90AA1_PF00183	HSP90AA1	Common	normal	0.723702664796634	0.115007012622721	solid
CDK1_PF00069	FOXA1_PF00250	Common	normal	1.27349228611501	0.403927068723703	arrow
FOXA1_PF00250	FOXA1	Common	normal	1.27349228611501	0.403927068723703	solid
CDK1_PF00069	FOXM1_PF00250(ENST00000361953_ENST00000359843_ENST00000627656)	Network_A	normal	0.67741935483871	1	arrow
FOXM1_PF00250(ENST00000361953_ENST00000359843_ENST00000627656)	FOXM1	Network_A	normal	0.67741935483871	1	solid
PCBD1	PCBD1_PF01329	Common	normal	2	0	solid
PCBD1_PF01329	HNF1B_PF04814	Common	normal	2	0	arrow
HNF1B_PF04814	HNF1B	Common	normal	2	0	solid
PCBD1_PF01329	HNF1A_PF04814	Common	normal	2	0	arrow
HNF1A_PF04814	HNF1A	Common	normal	2	0	solid
MAPK14_PF00069	PDX1_PF00046	Common	normal	2	0	arrow
PDX1_PF00046	PDX1	Common	normal	2	0	solid
MAPK14_PF00069	MAPK3_PF00069	Common	normal	1.97826086956522	0.0217391304347826	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
E2F1	E2F1_PF16421	Common	normal	2	0	solid
E2F1_PF16421	RB1_PF08934	Common	normal	2	0	arrow
RB1	RB1_PF08934	Common	normal	2	0	solid
RB1_PF08934	E2F4_PF16421	Common	normal	2	0	arrow
E2F4_PF16421	E2F4	Common	normal	2	0	solid
NFE2	NFE2_PF03131	Common	normal	2	0	solid
NFE2_PF03131	ATF4_PF00170	Common	normal	2	0	arrow
