source	target	interaction	splice_status	weight	shade	status
DDB2	DDB2_PF00400	Common	normal	2	0	solid
DDB2_PF00400	EZH2_PF11616	Common	normal	2	0	arrow
EZH2_PF11616	EZH2	Common	normal	2	0	solid
ZHX3	ZHX3_PF00046	Common	normal	1.91044776119403	0	solid
ZHX3_PF00046	TFAP4_PF00010	Common	normal	1.91044776119403	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	1.91044776119403	0	solid
PIK3R1	PIK3R1_PF16454	Common	normal	1.97014925373134	0	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	1.97014925373134	0	arrow
STAT3_PF00017	STAT3	Common	normal	1.97014925373134	0	solid
AKT1	AKT1_PF00169	Common	normal	2	0	solid
AKT1_PF00169	PIK3R1_PF00017	Common	normal	1.97014925373134	0	arrow
PIK3R1_PF00017	PIK3R1	Common	normal	1.97014925373134	0	solid
AKT1	AKT1_PF00069	Common	normal	2	0	solid
AKT1_PF00069	PIK3R1_PF00017	Common	normal	1.97014925373134	0	arrow
AKT1_PF00169	PIK3R1_PF00620	Common	normal	1.97014925373134	0	arrow
PIK3R1_PF00620	PIK3R1	Common	normal	1.97014925373134	0	solid
AKT1_PF00169	CDK4_PF00069	Common	normal	2	0	arrow
CDK4	CDK4_PF00069	Common	normal	2	0	solid
EZH2	EZH2_PF00856	Common	normal	2	0	solid
EZH2_PF00856	PHIP_PF00400	Common	normal	1.97014925373134	0	arrow
PHIP	PHIP_PF00400	Common	normal	1.97014925373134	0	solid
EZH2_PF00856	MAZ_PF00096	Common	normal	2	0	arrow
MAZ	MAZ_PF00096	Common	normal	0.0895522388059701	0	solid
EZH2_PF00856	FBXW11_PF00400	Common	normal	1.91044776119403	0	arrow
FBXW11	FBXW11_PF00400	Common	normal	2	0	solid
EZH2_PF00856	FBXW7_PF00400	Common	normal	1.94029850746269	0	arrow
FBXW7	FBXW7_PF00400	Common	normal	2	0	solid
EZH2_PF00856	ZNF592_PF00096	Common	normal	2	0	arrow
ZNF592_PF00096	ZNF592	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	1.73134328358209	0	solid
NFKB1_PF12796	REL_PF16179	Common	normal	1.73134328358209	0	arrow
REL_PF16179	REL	Common	normal	1.73134328358209	0	solid
NR4A1	NR4A1_PF00105	Common	normal	1.76119402985075	0	solid
NR4A1_PF00105	AKT1_PF00069	Common	normal	1.76119402985075	0	arrow
FOSL1	FOSL1_PF00170	Common	normal	2	0	solid
