source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447(ENST00000263734)	Network_A	normal	0.765432098765432	1	solid
EPAS1_PF08447(ENST00000263734)	HIF1A_PF00989	Network_A	spliced	0.765432098765432	1	arrow
HIF1A_PF00989	HIF1A	Network_A	normal	0.765432098765432	1	solid
TAF1	TAF1_PF00439	Network_A	normal	1	1	solid
TAF1_PF00439	JUN_PF00170	Network_A	normal	0.876543209876543	1	arrow
JUN	JUN_PF00170	Network_B	normal	0.1	-1	solid
TAF1_PF00439	FOS_PF00170(ENST00000303562)	Network_A	spliced	1	1	arrow
FOS_PF00170(ENST00000303562)	FOS	Network_A	normal	1	1	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
E2F6_PF16421	TFDP1_PF08781	Common	normal	2	0	arrow
TFDP1_PF08781	TFDP1	Common	normal	2	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP1_PF02319	Common	normal	2	0	arrow
TFDP1_PF02319	TFDP1	Common	normal	2	0	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
SMAD1	SMAD1_PF03166	Common	normal	2	0	solid
ICK_PF00069	CDK1_PF00069	Common	normal	1.86765432098765	0.107654320987654	arrow
CDK1	CDK1_PF00069	Common	normal	1.86765432098765	0.107654320987654	solid
PRDM16	PRDM16_PF00096(ENST00000378391)	Network_A	normal	0.962962962962963	1	solid
PRDM16_PF00096(ENST00000378391)	RBBP4_PF00400(ENST00000373485)	Network_A	spliced	0.962962962962963	1	arrow
RBBP4	RBBP4_PF00400(ENST00000373485)	Network_A	normal	1	1	solid
PRDM16_PF00096(ENST00000378391)	CTBP1_PF00389(ENST00000382952_ENST00000513420)	Network_A	spliced	0.962962962962963	1	arrow
CTBP1	CTBP1_PF00389(ENST00000382952_ENST00000513420)	Network_A	normal	1	1	solid
PRDM16_PF00096(ENST00000378391)	CTBP1_PF02826(ENST00000382952)	Network_A	spliced	0.962962962962963	1	arrow
CTBP1	CTBP1_PF02826(ENST00000382952)	Network_A	normal	1	1	solid
RBBP4	RBBP4_PF12265(ENST00000373485)	Network_A	normal	0.901234567901235	1	solid
RBBP4_PF12265(ENST00000373485)	MTA1_PF17226(ENST00000405646)	Network_A	spliced	0.901234567901235	1	arrow
MTA1_PF17226(ENST00000405646)	MTA1	Network_A	normal	0.901234567901235	1	solid
ID2	ID2_PF00010(ENST00000331129)	Network_A	normal	1	1	solid
ID2_PF00010(ENST00000331129)	MAPK3_PF00069(ENST00000263025_ENST00000395199)	Network_A	spliced	1	1	arrow
MAPK3	MAPK3_PF00069(ENST00000263025_ENST00000395199)	Network_A	normal	1	1	solid
ID2_PF00010(ENST00000331129)	TCF12_PF00010	Network_A	spliced	1	1	arrow
TCF12_PF00010	TCF12	Network_A	normal	1	1	solid
ID2_PF00010(ENST00000331129)	SREBF1_PF00010(ENST00000261646)	Network_A	spliced	1	1	arrow
SREBF1_PF00010(ENST00000261646)	SREBF1	Network_A	normal	1	1	solid
KLF5	KLF5_PF00096	Common	normal	1.03703703703704	-0.962962962962963	solid
KLF5_PF00096	GSK3B_PF00069	Common	normal	1.03061728395062	0.870617283950617	arrow
GSK3B	GSK3B_PF00069	Network_A	normal	0.987654320987654	1	solid
KLF5_PF00096	CREBBP_PF00439	Network_A	normal	0.962962962962963	1	arrow
CREBBP	CREBBP_PF00439	Network_A	normal	0.037037037037037	1	solid
BPTF	BPTF_PF00439	Network_A	normal	1	1	solid
BPTF_PF00439	MAZ_PF00096(ENST00000545521_ENST00000219782_ENST00000567444)	Network_A	spliced	1	1	arrow
MAZ	MAZ_PF00096(ENST00000545521_ENST00000219782_ENST00000567444)	Network_A	normal	0.0246913580246914	1	solid
BPTF_PF00439	TFAP4_PF00010(ENST00000204517)	Network_A	spliced	1	1	arrow
TFAP4_PF00010(ENST00000204517)	TFAP4	Network_A	normal	1	1	solid
SMAD1_PF03166	PAX6_PF00046	Common	normal	2	0	arrow
PAX6_PF00046	PAX6	Common	normal	2	0	solid
CDK1_PF00069	CUX1_PF00046	Common	normal	1.86765432098765	0.107654320987654	arrow
