source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	2	0	solid
H3F3A_PF00125	BPTF_PF00439	Common	normal	2	0	arrow
BPTF	BPTF_PF00439	Common	normal	2	0	solid
H3F3A_PF00125	BPTF_PF00628	Common	normal	2	0	arrow
BPTF_PF00628	BPTF	Common	normal	2	0	solid
TAF1	TAF1_PF00439	Common	normal	1.90909090909091	0.0909090909090909	solid
TAF1_PF00439	MAX_PF00010	Common	normal	1.90909090909091	0.0909090909090909	arrow
MAX_PF00010	MAX	Common	normal	1.90909090909091	0.0909090909090909	solid
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	JUND_PF00170	Common	normal	2	0	arrow
JUND_PF00170	JUND	Common	normal	2	0	solid
JDP2_PF00170	JUN_PF00170	Common	normal	1.72727272727273	0.272727272727273	arrow
JUN	JUN_PF00170	Network_B	normal	0.0454545454545455	-1	solid
JDP2_PF00170	ATF2_PF00170	Common	normal	1.93181818181818	0.0681818181818182	arrow
ATF2_PF00170	ATF2	Common	normal	1.93181818181818	0.0681818181818182	solid
PIK3R1	PIK3R1_PF16454	Common	normal	2	0	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	2	0	arrow
STAT3_PF00017	STAT3	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	1.11363636363636	0.886363636363636	solid
NFKB1_PF12796	REL_PF16179	Common	normal	1.11363636363636	0.886363636363636	arrow
REL	REL_PF16179	Network_A	normal	1	1	solid
NFKB1	NFKB1_PF16179	Common	normal	1.11363636363636	0.886363636363636	solid
NFKB1_PF16179	REL_PF16179	Common	normal	1.11363636363636	0.886363636363636	arrow
NFKB1_PF16179	REL_PF00554	Common	normal	1.11363636363636	0.886363636363636	arrow
REL_PF00554	REL	Common	normal	1.11363636363636	0.886363636363636	solid
