source	target	interaction	splice_status	weight	shade	status
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6_PF00170	ATF6	Common	normal	2	0	solid
STK40_PF00069	ZNF397_PF00096	Common	normal	2	0	arrow
ZNF397	ZNF397_PF00096	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Common	normal	2	0	solid
BRCA1_PF00533	CDK4_PF00069	Common	normal	2	0	arrow
CDK4	CDK4_PF00069	Common	normal	2	0	solid
BRCA1_PF00533	CDK8_PF00069	Common	normal	1.05892778023926	0.842711564023039	arrow
CDK8	CDK8_PF00069	Common	normal	1.05892778023926	0.842711564023039	solid
BRCA1_PF00533	MAPK3_PF00069	Common	normal	1.91891891891892	0.081081081081081	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ZNF397_PF00096	ZKSCAN1_PF00096	Common	normal	2	0	arrow
ZKSCAN1_PF00096	ZKSCAN1	Common	normal	2	0	solid
ZNF397	ZNF397_PF02023	Common	normal	2	0	solid
ZNF397_PF02023	ZKSCAN1_PF01352	Common	normal	2	0	arrow
ZKSCAN1_PF01352	ZKSCAN1	Common	normal	2	0	solid
ZNF397_PF00096	ZKSCAN1_PF01352	Common	normal	2	0	arrow
ZNF397_PF00096	ZKSCAN1_PF13465	Common	normal	2	0	arrow
ZKSCAN1_PF13465	ZKSCAN1	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	HDAC1_PF00850	Common	normal	2	0	arrow
HDAC1	HDAC1_PF00850	Common	normal	2	0	solid
BPTF	BPTF_PF00439	Common	normal	2	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	2	0	arrow
MAZ_PF00096	MAZ	Common	normal	2	0	solid
BPTF_PF00439	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
CDK4_PF00069	CCND1_PF02984	Common	normal	2	0	arrow
CCND1_PF02984	CCND1	Common	normal	2	0	solid
CDK4_PF00069	CCND1_PF00134	Common	normal	2	0	arrow
CCND1	CCND1_PF00134	Common	normal	2	0	solid
CDK4_PF00069	RELA_PF00554	Common	normal	2	0	arrow
RELA	RELA_PF00554	Common	normal	2	0	solid
HDAC1_PF00850	RBBP4_PF00400	Common	normal	2	0	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
HDAC1_PF00850	SP3_PF00096	Common	normal	1.89100575985822	-0.0549401860877271	arrow
SP3_PF00096	SP3	Common	normal	1.89100575985822	-0.0549401860877271	solid
HDAC1_PF00850	MTA3_PF01448	Network_A	normal	0.852459016393443	1	arrow
MTA3_PF01448	MTA3	Network_A	normal	0.852459016393443	1	solid
HDAC1_PF00850	MTA3_PF00249	Network_A	normal	0.852459016393443	1	arrow
MTA3_PF00249	MTA3	Network_A	normal	0.852459016393443	1	solid
HDAC1_PF00850	KLF1_PF00096	Common	normal	2	0	arrow
KLF1_PF00096	KLF1	Common	normal	2	0	solid
HDAC1_PF00850	E4F1_PF00096	Common	normal	1.88613203367302	0.0482941958351794	arrow
E4F1	E4F1_PF00096	Common	normal	1.88613203367302	0.0482941958351794	solid
IRF1	IRF1_PF00605	Common	normal	2	0	solid
IRF1_PF00605	IRF9_PF00605	Common	normal	2	0	arrow
IRF9_PF00605	IRF9	Common	normal	2	0	solid
CDK8_PF00069	SREBF1_PF00010	Common	normal	1.05892778023926	0.842711564023039	arrow
SREBF1_PF00010	SREBF1	Common	normal	1.05892778023926	0.842711564023039	solid
MTA3	MTA3_PF00320	Network_A	normal	0.885245901639344	1	solid
MTA3_PF00320	GATAD2A_PF00320	Network_A	normal	0.885245901639344	1	arrow
GATAD2A_PF00320	GATAD2A	Network_A	normal	0.885245901639344	1	solid
CCND1_PF00134	RB1_PF08934	Common	normal	2	0	arrow
RB1	RB1_PF08934	Common	normal	2	0	solid
RBBP4_PF00400	ELAVL1_PF00076	Common	normal	0.480283562250775	0.372175454142667	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
RBBP4_PF00400	BPTF_PF00628	Common	normal	2	0	arrow
BPTF_PF00628	BPTF	Common	normal	2	0	solid
RBBP4_PF00400	BRCA1_PF00097	Common	normal	2	0	arrow
