source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	1.98275862068966	-0.0172413793103449	solid
H3F3A_PF00125	CHD4_PF00176	Common	normal	1.94797338173019	-0.0169388989715668	arrow
CHD4_PF00176	CHD4	Common	normal	1.94797338173019	-0.0169388989715668	solid
H3F3A_PF00125	CHD4_PF00271	Common	normal	1.94797338173019	-0.0169388989715668	arrow
CHD4	CHD4_PF00271	Common	normal	1.98275862068966	-0.0172413793103449	solid
H3F3A_PF00125	BPTF_PF00628	Common	normal	1.98275862068966	-0.0172413793103449	arrow
BPTF_PF00628	BPTF	Common	normal	1.98275862068966	-0.0172413793103449	solid
H3F3A_PF00125	KAT2B_PF00439	Common	normal	1.8956442831216	0.000907441016333999	arrow
KAT2B	KAT2B_PF00439	Common	normal	2	0	solid
EPAS1	EPAS1_PF08447	Common	normal	1.65214761040532	0.00302480338777977	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.65214761040532	0.00302480338777977	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.65214761040532	0.00302480338777977	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	TCF4_PF00010	Common	normal	1.72171808832426	0.00241984271022377	arrow
TCF4_PF00010	TCF4	Common	normal	1.72171808832426	0.00241984271022377	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	FOSL2_PF00170	Common	normal	2	0	arrow
FOSL2_PF00170	FOSL2	Common	normal	2	0	solid
