source	target	interaction	splice_status	weight	shade	status
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	ATF7_PF00170	Common	normal	2	0	arrow
ATF7_PF00170	ATF7	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	1.88888888888889	0	solid
NEK6_PF00069	TCF4_PF00010	Common	normal	1.88888888888889	0	arrow
TCF4_PF00010	TCF4	Common	normal	1.88888888888889	0	solid
NEK6_PF00069	IKZF1_PF00096	Common	normal	1.88888888888889	0	arrow
IKZF1_PF00096	IKZF1	Common	normal	1.88888888888889	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6_PF00170	ATF6	Common	normal	2	0	solid
RECQL4	RECQL4_PF00271	Common	normal	1.66666666666667	0	solid
RECQL4_PF00271	CDK4_PF00069	Common	normal	1.66666666666667	0	arrow
CDK4	CDK4_PF00069	Common	normal	2	0	solid
CDK4_PF00069	TEAD2_PF01285	Common	normal	2	0	arrow
TEAD2	TEAD2_PF01285	Common	normal	2	0	solid
CDK4_PF00069	PPP1CA_PF00149	Common	normal	1.44444444444444	0	arrow
PPP1CA	PPP1CA_PF00149	Common	normal	1.44444444444444	0	solid
CDK4_PF00069	CCND1_PF00134	Common	normal	2	0	arrow
CCND1	CCND1_PF00134	Common	normal	2	0	solid
CDK4_PF00069	FOXM1_PF00250	Common	normal	2	0	arrow
FOXM1_PF00250	FOXM1	Common	normal	2	0	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
ARNT_PF00010	ARNT	Common	normal	2	0	solid
TEAD2_PF01285	TEAD4_PF01285	Common	normal	2	0	arrow
TEAD4_PF01285	TEAD4	Common	normal	2	0	solid
CCND1_PF00134	RB1_PF08934	Common	normal	2	0	arrow
RB1	RB1_PF08934	Common	normal	2	0	solid
TEAD2	TEAD2_PF17725	Common	normal	2	0	solid
TEAD2_PF17725	TEAD1_PF17725	Common	normal	2	0	arrow
TEAD1_PF17725	TEAD1	Common	normal	2	0	solid
CHD4	CHD4_PF00271	Common	normal	1.77777777777778	0	solid
CHD4_PF00271	FOXK2_PF00498	Common	normal	1.77777777777778	0	arrow
FOXK2_PF00498	FOXK2	Common	normal	1.77777777777778	0	solid
CHD4_PF00271	RECQL4_PF00270	Common	normal	0.666666666666667	0	arrow
RECQL4	RECQL4_PF00270	Common	normal	0.444444444444444	0	solid
RB1_PF08934	E2F4_PF16421	Common	normal	2	0	arrow
E2F4_PF16421	E2F4	Common	normal	2	0	solid
ARNT	ARNT_PF14598	Common	normal	2	0	solid
