source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	1.97333333333333	-0.0266666666666666	solid
H3F3A_PF00125	KAT2A_PF00439	Common	normal	1.795	0.045	arrow
KAT2A	KAT2A_PF00439	Common	normal	1.91541666666667	-0.0220833333333333	solid
H3F3A_PF00125	BPTF_PF00628	Common	normal	1.97333333333333	-0.0266666666666666	arrow
BPTF_PF00628	BPTF	Common	normal	1.97333333333333	-0.0266666666666666	solid
H3F3A_PF00125	BPTF_PF00439	Common	normal	1.97333333333333	-0.0266666666666666	arrow
BPTF	BPTF_PF00439	Common	normal	2	0	solid
H3F3A_PF00125	RBBP4_PF00400	Network_A	normal	0.946666666666667	1	arrow
RBBP4	RBBP4_PF00400	Network_A	normal	0.986666666666667	1	solid
H3F3A_PF00125	LRRK2_PF00069	Common	normal	0.890416666666667	0.869583333333333	arrow
LRRK2	LRRK2_PF00069	Common	normal	0.890416666666667	0.869583333333333	solid
PIK3R1	PIK3R1_PF16454	Common	normal	1.98666666666667	-0.0133333333333333	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	1.98666666666667	-0.0133333333333333	arrow
STAT3_PF00017	STAT3	Common	normal	1.98666666666667	-0.0133333333333333	solid
PIK3R1_PF16454	INPPL1_PF00017	Common	normal	1.03583333333333	0.910833333333333	arrow
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2	STAT2_PF00017	Network_B	normal	0.833333333333333	-1	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	RELB_PF00554	Common	normal	2	0	arrow
RELB	RELB_PF00554	Common	normal	1.87666666666667	0.0433333333333333	solid
STAT2	STAT2_PF12188	Common	normal	1.58625	-0.22625	solid
STAT2_PF12188	CREBBP_PF02135	Common	normal	1.58625	-0.22625	arrow
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Network_A	normal	1	1	solid
BRCA1_PF00533	CDK4_PF00069	Network_A	normal	1	1	arrow
CDK4	CDK4_PF00069	Network_A	normal	1	1	solid
BRCA1_PF00533	MAPK3_PF00069	Network_A	normal	1	1	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
BRCA1_PF00533	CDK2_PF00069	Network_A	normal	0.96	1	arrow
CDK2	CDK2_PF00069	Common	normal	2	0	solid
RBBP4	RBBP4_PF12265	Network_A	normal	0.933333333333333	1	solid
RBBP4_PF12265	MTA1_PF17226	Network_A	normal	0.933333333333333	1	arrow
MTA1_PF17226	MTA1	Network_A	normal	0.933333333333333	1	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4_PF03166	SMAD4	Common	normal	2	0	solid
KLF5_PF00096	ELAVL1_PF00076	Common	normal	1.8575	-0.0175	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
KLF5_PF00096	SMAD3_PF03166	Common	normal	1.97625	-0.00291666666666668	arrow
SMAD3_PF03166	SMAD3	Common	normal	1.97625	-0.00291666666666668	solid
