source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447	Common	normal	1.87954022988506	-0.0404597701149425	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.87954022988506	-0.0404597701149425	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.87954022988506	-0.0404597701149425	solid
EPAS1	EPAS1_PF00989	Common	normal	1.87954022988506	-0.0404597701149425	solid
EPAS1_PF00989	HIF1A_PF08447	Common	normal	1.87954022988506	-0.0404597701149425	arrow
HIF1A_PF08447	HIF1A	Common	normal	1.87954022988506	-0.0404597701149425	solid
EPAS1_PF08447	HIF1A_PF08447	Common	normal	1.87954022988506	-0.0404597701149425	arrow
EPAS1_PF00989	HIF1A_PF00989	Common	normal	1.87954022988506	-0.0404597701149425	arrow
E2F6	E2F6_PF16421	Common	normal	1.58620689655172	-0.413793103448276	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	1.58620689655172	-0.413793103448276	arrow
TFDP2_PF08781	TFDP2	Common	normal	1.58620689655172	-0.413793103448276	solid
E2F6	E2F6_PF02319	Common	normal	1.58620689655172	-0.413793103448276	solid
E2F6_PF02319	TFDP2_PF02319	Common	normal	1.58620689655172	-0.413793103448276	arrow
TFDP2	TFDP2_PF02319	Common	normal	2	0	solid
TFE3	TFE3_PF00010	Common	normal	2	0	solid
TFE3_PF00010	MITF_PF00010	Common	normal	2	0	arrow
MITF_PF00010	MITF	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	2	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
ZNF417	ZNF417_PF00096	Common	normal	1.42413793103448	0.0241379310344828	solid
ZNF417_PF00096	IKZF1_PF00096	Common	normal	1.42413793103448	0.0241379310344828	arrow
IKZF1_PF00096	IKZF1	Common	normal	1.42413793103448	0.0241379310344828	solid
ZNF417	ZNF417_PF01352	Common	normal	1.42413793103448	0.0241379310344828	solid
ZNF417_PF01352	IKZF1_PF00096	Common	normal	1.42413793103448	0.0241379310344828	arrow
HOXC9	HOXC9_PF00046	Common	normal	1.29620689655172	-0.123793103448276	solid
HOXC9_PF00046	POU2F1_PF00046	Common	normal	1.29620689655172	-0.123793103448276	arrow
POU2F1_PF00046	POU2F1	Common	normal	1.29620689655172	-0.123793103448276	solid
HOXC9_PF00046	POU2F1_PF00157	Common	normal	1.29620689655172	-0.123793103448276	arrow
POU2F1_PF00157	POU2F1	Common	normal	1.29620689655172	-0.123793103448276	solid
NFKB1	NFKB1_PF16179	Common	normal	1.84551724137931	0.0855172413793104	solid
NFKB1_PF16179	CEBPB_PF07716	Common	normal	1.84551724137931	0.0855172413793104	arrow
