source	target	interaction	splice_status	weight	shade	status
TAF1	TAF1_PF00439	Common	normal	1.98	0	solid
TAF1_PF00439	MYC_PF00010	Common	normal	1.92	0	arrow
MYC_PF00010	MYC	Common	normal	1.92	0	solid
TAF1_PF00439	MAX_PF00010	Common	normal	1.98	0	arrow
MAX	MAX_PF00010	Common	normal	1.3	0	solid
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	ATF7_PF00170	Common	normal	2	0	arrow
ATF7_PF00170	ATF7	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6	ATF6_PF00170	Common	normal	1.3	0	solid
STK40_PF00069	ZNF397_PF00096	Common	normal	1.52	0	arrow
ZNF397	ZNF397_PF00096	Common	normal	1.52	0	solid
RECQL4	RECQL4_PF00271	Common	normal	2	0	solid
RECQL4_PF00271	RBBP4_PF00400	Common	normal	2	0	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
RECQL4_PF00271	CDK4_PF00069	Common	normal	2	0	arrow
CDK4	CDK4_PF00069	Common	normal	2	0	solid
RECQL4_PF00271	NIFK_PF00076	Common	normal	1.6	0	arrow
NIFK	NIFK_PF00076	Common	normal	1.6	0	solid
RECQL4_PF00271	FUS_PF00076	Common	normal	1.94	0	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
ZNF397_PF00096	ZKSCAN1_PF00096	Common	normal	1.52	0	arrow
ZKSCAN1_PF00096	ZKSCAN1	Common	normal	1.52	0	solid
ZNF397	ZNF397_PF02023	Common	normal	1.52	0	solid
ZNF397_PF02023	ZKSCAN1_PF01352	Common	normal	1.52	0	arrow
ZKSCAN1_PF01352	ZKSCAN1	Common	normal	1.52	0	solid
RBBP4	RBBP4_PF12265	Common	normal	1.98	0	solid
RBBP4_PF12265	MTA2_PF17226	Common	normal	1.98	0	arrow
MTA2_PF17226	MTA2	Common	normal	1.98	0	solid
KLF5	KLF5_PF00096	Common	normal	1.98	0	solid
KLF5_PF00096	ELAVL1_PF00076	Common	normal	1.74	0	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
KLF5_PF00096	SMAD3_PF03166	Common	normal	1.98	0	arrow
SMAD3_PF03166	SMAD3	Common	normal	1.98	0	solid
MAFF	MAFF_PF03131	Common	normal	2	0	solid
MAFF_PF03131	NFE2L1_PF03131	Common	normal	2	0	arrow
NFE2L1_PF03131	NFE2L1	Common	normal	2	0	solid
BPTF	BPTF_PF00439	Common	normal	1.44	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	1.44	0	arrow
MAZ	MAZ_PF00096	Common	normal	0.02	0	solid
ATF6_PF00170	MAPK14_PF00069	Common	normal	1.3	0	arrow
MAPK14	MAPK14_PF00069	Common	normal	1.48	0	solid
CDK4_PF00069	TEAD2_PF01285	Common	normal	2	0	arrow
TEAD2	TEAD2_PF01285	Common	normal	2	0	solid
