source	target	interaction	splice_status	weight	shade	status
DDB2	DDB2_PF00400	Network_A	normal	0.74	1	solid
DDB2_PF00400	EZH2_PF11616(ENST00000460911_ENST00000350995)	Network_A	spliced	0.74	1	arrow
EZH2	EZH2_PF11616(ENST00000460911_ENST00000350995)	Network_A	normal	0.77	1	solid
DDB2_PF00400	EZH2_PF00856(ENST00000460911_ENST00000350995)	Network_A	spliced	0.74	1	arrow
EZH2	EZH2_PF00856(ENST00000460911_ENST00000350995)	Network_A	normal	1	1	solid
TAF1	TAF1_PF00439	Common	normal	1.57	-0.43	solid
TAF1_PF00439	FOS_PF00170	Common	normal	1.57	-0.43	arrow
FOS_PF00170	FOS	Common	normal	1.57	-0.43	solid
ZHX3	ZHX3_PF00046(ENST00000421422_ENST00000559234)	Network_A	normal	1	1	solid
ZHX3_PF00046(ENST00000421422_ENST00000559234)	TFAP4_PF00010	Network_A	spliced	1	1	arrow
TFAP4_PF00010	TFAP4	Network_A	normal	1	1	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
EZH2_PF00856(ENST00000460911_ENST00000350995)	MAZ_PF00096	Network_A	spliced	1	1	arrow
MAZ_PF00096	MAZ	Network_A	normal	1	1	solid
EZH2_PF00856(ENST00000460911_ENST00000350995)	PHF1_PF00628	Network_A	spliced	0.2	1	arrow
PHF1	PHF1_PF00628	Network_A	normal	0.14	1	solid
EZH2_PF00856(ENST00000460911_ENST00000350995)	FBXW11_PF00400	Network_A	normal	0.77	1	arrow
FBXW11	FBXW11_PF00400	Common	normal	1.8	-0.2	solid
EZH2_PF11616(ENST00000460911_ENST00000350995)	FBXW11_PF00400	Network_A	normal	0.77	1	arrow
ATF1	ATF1_PF00170(ENST00000262053)	Network_A	normal	1	1	solid
ATF1_PF00170(ENST00000262053)	SPI1_PF00178	Network_A	spliced	1	1	arrow
SPI1	SPI1_PF00178	Network_A	normal	1	1	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069(ENST00000395202)	Network_A	spliced	1	1	arrow
MAPK3	MAPK3_PF00069(ENST00000395202)	Network_A	normal	1	1	solid
ID2_PF00010	CDK2_PF00069	Common	normal	2	0	arrow
CDK2	CDK2_PF00069	Common	normal	2	0	solid
ID2_PF00010	TCF12_PF00010	Common	normal	2	0	arrow
TCF12_PF00010	TCF12	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4_PF03166	SMAD4	Common	normal	2	0	solid
KLF5_PF00096	SMAD3_PF03166	Common	normal	1.48	0.48	arrow
SMAD3_PF03166	SMAD3	Common	normal	1.48	0.48	solid
KLF5_PF00096	RARA_PF00105	Common	normal	2	0	arrow
RARA_PF00105	RARA	Common	normal	2	0	solid
MTA2	MTA2_PF00320(ENST00000524902)	Network_A	normal	0.66	1	solid
MTA2_PF00320(ENST00000524902)	GATAD2A_PF00320(ENST00000358713)	Network_A	spliced	0.66	1	arrow
GATAD2A_PF00320(ENST00000358713)	GATAD2A	Network_A	normal	0.66	1	solid
PGR	PGR_PF00105	Common	normal	2	0	solid
PGR_PF00105	KLF9_PF00096	Common	normal	2	0	arrow
KLF9_PF00096	KLF9	Common	normal	2	0	solid
IRF1	IRF1_PF00605	Common	normal	2	0	solid
IRF1_PF00605	IRF2_PF00605	Common	normal	2	0	arrow
IRF2_PF00605	IRF2	Common	normal	2	0	solid
IRF1_PF00605	IRF9_PF00605	Common	normal	2	0	arrow
IRF9_PF00605	IRF9	Common	normal	2	0	solid
RBL1	RBL1_PF08934(ENST00000373664)	Network_A	normal	1	1	solid
RBL1_PF08934(ENST00000373664)	E2F1_PF16421	Network_A	spliced	1	1	arrow
E2F1_PF16421	E2F1	Network_A	normal	1	1	solid
RBL1_PF08934(ENST00000373664)	E2F2_PF16421(ENST00000361729)	Network_A	spliced	1	1	arrow
E2F2_PF16421(ENST00000361729)	E2F2	Network_A	normal	1	1	solid
RBL1_PF08934(ENST00000373664)	E2F4_PF16421	Network_A	spliced	1	1	arrow
E2F4_PF16421	E2F4	Network_A	normal	1	1	solid
RBL1_PF08934(ENST00000373664)	TFDP1_PF08781	Network_A	spliced	1	1	arrow
TFDP1_PF08781	TFDP1	Network_A	normal	1	1	solid
ZFP91	ZFP91_PF00096	Common	normal	2	0	solid
ZFP91_PF00096	FOXA1_PF00250	Common	normal	2	0	arrow
FOXA1_PF00250	FOXA1	Common	normal	2	0	solid
TADA2B	TADA2B_PF00249	Network_A	normal	0.27	1	solid
TADA2B_PF00249	FBXO38_PF00646	Network_A	normal	0.27	1	arrow
FBXO38	FBXO38_PF00646	Network_A	normal	0.61	1	solid
FBXO38_PF00646	MYBL2_PF00249(ENST00000217026_ENST00000396863)	Network_A	spliced	0.61	1	arrow
MYBL2_PF00249(ENST00000217026_ENST00000396863)	MYBL2	Network_A	normal	0.61	1	solid
PHF1_PF00628	MTA2_PF01426	Network_A	normal	0.14	1	arrow
MTA2_PF01426	MTA2	Network_A	normal	0.14	1	solid
SAMD4A	SAMD4A_PF00536	Common	normal	2	0	solid
SAMD4A_PF00536	INPPL1_PF00536	Common	normal	2	0	arrow
INPPL1_PF00536	INPPL1	Common	normal	2	0	solid
CDK2_PF00069	PGR_PF00104	Common	normal	2	0	arrow
PGR_PF00104	PGR	Common	normal	2	0	solid
CDK2_PF00069	FOXM1_PF00250(ENST00000342628_ENST00000361953)	Network_A	normal	1	1	arrow
FOXM1_PF00250(ENST00000342628_ENST00000361953)	FOXM1	Network_A	normal	1	1	solid
