source	target	interaction	splice_status	weight	shade	status
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	ATF2_PF00170	Common	normal	2	0	arrow
ATF2_PF00170	ATF2	Common	normal	2	0	solid
JDP2_PF00170	ATF7_PF00170	Common	normal	2	0	arrow
ATF7_PF00170	ATF7	Common	normal	2	0	solid
PPIL4	PPIL4_PF00076	Common	normal	2	0	solid
PPIL4_PF00076	SMAD5_PF03165	Common	normal	2	0	arrow
SMAD5_PF03165	SMAD5	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	JUNB_PF00170	Common	normal	2	0	arrow
JUNB_PF00170	JUNB	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6_PF00170	ATF6	Common	normal	2	0	solid
PRKCD	PRKCD_PF00130	Common	normal	2	0	solid
PRKCD_PF00130	STAT3_PF00017	Common	normal	2	0	arrow
STAT3	STAT3_PF00017	Common	normal	0.456140350877193	0	solid
PRDM10	PRDM10_PF00096	Common	normal	1.75438596491228	0	solid
PRDM10_PF00096	FOXK2_PF00250	Common	normal	1.75438596491228	0	arrow
FOXK2	FOXK2_PF00250	Common	normal	2	0	solid
PRDM10_PF00096	FOXK2_PF00498	Common	normal	1.75438596491228	0	arrow
FOXK2_PF00498	FOXK2	Common	normal	1.75438596491228	0	solid
PRDM10_PF00096	ESR2_PF00105	Common	normal	1.54385964912281	0	arrow
ESR2	ESR2_PF00105	Common	normal	0.56140350877193	0	solid
HSP90AA1	HSP90AA1_PF02518	Common	normal	1.71929824561404	0	solid
HSP90AA1_PF02518	PRKCD_PF00069	Common	normal	1.50877192982456	0	arrow
PRKCD_PF00069	PRKCD	Common	normal	1.50877192982456	0	solid
HSP90AA1	HSP90AA1_PF00183	Common	normal	1.50877192982456	0	solid
HSP90AA1_PF00183	PRKCD_PF00069	Common	normal	1.50877192982456	0	arrow
HSP90AA1_PF02518	ARNTL_PF00989	Common	normal	1.71929824561404	0	arrow
ARNTL_PF00989	ARNTL	Common	normal	1.71929824561404	0	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4_PF03166	SMAD4	Common	normal	2	0	solid
KLF5_PF00096	SMAD3_PF03166	Common	normal	2	0	arrow
SMAD3_PF03166	SMAD3	Common	normal	2	0	solid
