source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	1.61643835616438	0	solid
H3F3A_PF00125	RBBP4_PF00400	Common	normal	1.61643835616438	0	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	1.94520547945205	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	1.94520547945205	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	1.94520547945205	0	solid
E2F6	E2F6_PF02319	Common	normal	1.94520547945205	0	solid
E2F6_PF02319	TFDP2_PF02319	Common	normal	1.94520547945205	0	arrow
TFDP2	TFDP2_PF02319	Common	normal	2	0	solid
EZH2	EZH2_PF00856	Common	normal	2	0	solid
EZH2_PF00856	EHMT2_PF05033	Common	normal	1.89041095890411	0	arrow
EHMT2_PF05033	EHMT2	Common	normal	1.89041095890411	0	solid
EZH2_PF00856	EHMT2_PF00856	Common	normal	1.89041095890411	0	arrow
EHMT2	EHMT2_PF00856	Common	normal	1.89041095890411	0	solid
EZH2	EZH2_PF18264	Common	normal	1.89041095890411	0	solid
EZH2_PF18264	EHMT2_PF00856	Common	normal	1.89041095890411	0	arrow
EZH2_PF00856	WT1_PF00096	Common	normal	2	0	arrow
WT1	WT1_PF00096	Common	normal	0.10958904109589	0	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	TCF4_PF00010	Common	normal	2	0	arrow
TCF4_PF00010	TCF4	Common	normal	2	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
NEK6_PF00069	IKZF1_PF00096	Common	normal	2	0	arrow
