source	target	interaction	splice_status	weight	shade	status
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	TCF4_PF00010	Common	normal	1.84415584415584	0	arrow
TCF4_PF00010	TCF4	Common	normal	1.84415584415584	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
NEK6_PF00069	NFATC1_PF00554	Common	normal	2	0	arrow
NFATC1_PF00554	NFATC1	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	1.94805194805195	0	solid
NFKB1_PF12796	REL_PF16179	Common	normal	1.94805194805195	0	arrow
REL_PF16179	REL	Common	normal	1.94805194805195	0	solid
ELK4	ELK4_PF00178	Common	normal	2	0	solid
ELK4_PF00178	SRF_PF00319	Common	normal	2	0	arrow
SRF	SRF_PF00319	Common	normal	2	0	solid
PRKCD	PRKCD_PF00130	Common	normal	2	0	solid
PRKCD_PF00130	STAT3_PF00017	Common	normal	2	0	arrow
STAT3	STAT3_PF00017	Common	normal	2	0	solid
PRKCD_PF00130	STAT1_PF00017	Common	normal	2	0	arrow
STAT1_PF00017	STAT1	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Common	normal	2	0	solid
BRCA1_PF00533	CDK8_PF00069	Common	normal	2	0	arrow
CDK8	CDK8_PF00069	Common	normal	2	0	solid
BRCA1_PF00533	MAPK3_PF00069	Common	normal	1.97402597402597	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
BRCA1_PF00533	CSNK2A1_PF00069	Common	normal	1.61038961038961	0	arrow
CSNK2A1	CSNK2A1_PF00069	Common	normal	1.92207792207792	0	solid
HCFC1	HCFC1_PF01344	Common	normal	2	0	solid
HCFC1_PF01344	FBXW11_PF00400	Common	normal	2	0	arrow
FBXW11	FBXW11_PF00400	Common	normal	2	0	solid
HCFC1_PF01344	RBBP4_PF00400	Common	normal	2	0	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
RBBP4	RBBP4_PF12265	Common	normal	1.8961038961039	0	solid
RBBP4_PF12265	MTA2_PF17226	Common	normal	1.8961038961039	0	arrow
MTA2_PF17226	MTA2	Common	normal	1.8961038961039	0	solid
BPTF	BPTF_PF00439	Common	normal	2	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	2	0	arrow
MAZ	MAZ_PF00096	Common	normal	2	0	solid
BPTF_PF00439	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
MTA2	MTA2_PF00320	Common	normal	1.84415584415584	0	solid
MTA2_PF00320	GATAD2B_PF00320	Common	normal	1.84415584415584	0	arrow
GATAD2B_PF00320	GATAD2B	Common	normal	1.84415584415584	0	solid
LYL1	LYL1_PF00010	Common	normal	2	0	solid
LYL1_PF00010	NFKB1_PF00554	Common	normal	2	0	arrow
NFKB1	NFKB1_PF00554	Common	normal	0.415584415584416	0	solid
CDK8_PF00069	SMAD3_PF03166	Common	normal	2	0	arrow
SMAD3_PF03166	SMAD3	Common	normal	2	0	solid
CDK8_PF00069	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
