source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Network_A	normal	0.652173913043478	1	solid
H3F3A_PF00125	RBBP4_PF00400	Network_A	normal	0.652173913043478	1	arrow
RBBP4	RBBP4_PF00400	Common	normal	1.33454106280193	0.0567632850241546	solid
DDB2	DDB2_PF00400	Common	normal	2	0	solid
DDB2_PF00400	TCP1_PF00118	Common	normal	2	0	arrow
TCP1	TCP1_PF00118	Common	normal	2	0	solid
TAF1	TAF1_PF00439	Common	normal	1.506038647343	0.117149758454106	solid
TAF1_PF00439	MYC_PF00010	Common	normal	1.506038647343	0.117149758454106	arrow
MYC_PF00010	MYC	Common	normal	1.506038647343	0.117149758454106	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2	STAT2_PF00017	Network_B	normal	0.0138888888888889	-1	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP1_PF08781	Common	normal	2	0	arrow
TFDP1_PF08781	TFDP1	Common	normal	2	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP1_PF02319	Common	normal	2	0	arrow
TFDP1_PF02319	TFDP1	Common	normal	2	0	solid
TCP1_PF00118	CDC20_PF00400	Common	normal	2	0	arrow
CDC20	CDC20_PF00400	Common	normal	2	0	solid
ELK4	ELK4_PF00178	Common	normal	2	0	solid
ELK4_PF00178	SRF_PF00319	Common	normal	2	0	arrow
SRF_PF00319	SRF	Common	normal	2	0	solid
CDC20_PF00400	HHEX_PF00046	Common	normal	2	0	arrow
HHEX_PF00046	HHEX	Common	normal	2	0	solid
CDC20_PF00400	CDK1_PF00069	Common	normal	1.26388888888889	0.0694444444444444	arrow
CDK1	CDK1_PF00069	Common	normal	1.92934782608696	0.0126811594202898	solid
