source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Network_A	normal	0.66	1	solid
H3F3A_PF00125	BPTF_PF00628	Network_A	normal	0.66	1	arrow
BPTF_PF00628	BPTF	Common	normal	1.34	-0.66	solid
TAF1	TAF1_PF00439	Common	normal	2	0	solid
TAF1_PF00439	CDK8_PF00069	Common	normal	1.91	-0.09	arrow
CDK8	CDK8_PF00069	Common	normal	1.93	-0.07	solid
TAF1_PF00439	MAX_PF00010	Common	normal	2	0	arrow
MAX	MAX_PF00010	Common	normal	1.51	-0.49	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6_PF00170	ATF6	Common	normal	2	0	solid
STK40_PF00069	ZNF397_PF00096	Common	normal	2	0	arrow
ZNF397	ZNF397_PF00096	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	ELF3_PF00178	Common	normal	2	0	arrow
ELF3_PF00178	ELF3	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Common	normal	1.97	-0.03	solid
BRCA1_PF00533	CDK4_PF00069	Common	normal	1.97	-0.03	arrow
CDK4	CDK4_PF00069	Common	normal	1.97	-0.03	solid
KLF5	KLF5_PF00096	Common	normal	1.97	-0.03	solid
KLF5_PF00096	ELAVL1_PF00076	Common	normal	1.93	-0.07	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
KLF5_PF00096	CREBBP_PF00439	Network_A	normal	0.91	1	arrow
CREBBP	CREBBP_PF00439	Network_A	normal	0.8	1	solid
KLF5_PF00096	HDAC1_PF00850	Common	normal	1.97	-0.03	arrow
HDAC1	HDAC1_PF00850	Common	normal	1.98	-0.02	solid
BPTF	BPTF_PF00439	Common	normal	2	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	2	0	arrow
MAZ_PF00096	MAZ	Common	normal	2	0	solid
BPTF_PF00439	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
CDK4_PF00069	NCOA2_PF00989	Common	normal	1.97	-0.03	arrow
NCOA2_PF00989	NCOA2	Common	normal	1.97	-0.03	solid
HDAC1_PF00850	PRDM1_PF00096	Network_A	normal	0.97	1	arrow
PRDM1_PF00096	PRDM1	Common	normal	1.02	-0.98	solid
HDAC1_PF00850	MTA3_PF00249	Common	normal	1.93	-0.07	arrow
