source	target	interaction	splice_status	weight	shade	status
HNRNPA0	HNRNPA0_PF00076	Common	normal	2	0	solid
HNRNPA0_PF00076	BRCA1_PF00097	Common	normal	1.92941176470588	0	arrow
BRCA1	BRCA1_PF00097	Common	normal	2	0	solid
HNRNPA0_PF00076	RARA_PF00105	Common	normal	2	0	arrow
RARA_PF00105	RARA	Common	normal	2	0	solid
TAF1	TAF1_PF00439	Common	normal	2	0	solid
TAF1_PF00439	GFI1B_PF00096	Common	normal	2	0	arrow
GFI1B	GFI1B_PF00096	Common	normal	2	0	solid
TAF1_PF00439	CDK8_PF00069	Common	normal	1.88235294117647	0	arrow
CDK8	CDK8_PF00069	Common	normal	2	0	solid
TAF1_PF00439	MYC_PF00010	Common	normal	1.92941176470588	0	arrow
MYC	MYC_PF00010	Common	normal	1.36470588235294	0	solid
TAF1_PF00439	FOS_PF00170	Common	normal	1.83529411764706	0	arrow
FOS_PF00170	FOS	Common	normal	1.83529411764706	0	solid
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	ATF2_PF00170	Common	normal	1.92941176470588	0	arrow
ATF2_PF00170	ATF2	Common	normal	1.92941176470588	0	solid
JDP2_PF00170	ATF7_PF00170	Common	normal	2	0	arrow
ATF7_PF00170	ATF7	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6_PF00170	ATF6	Common	normal	2	0	solid
ELK4	ELK4_PF00178	Common	normal	2	0	solid
ELK4_PF00178	SRF_PF00319	Common	normal	2	0	arrow
SRF	SRF_PF00319	Common	normal	2	0	solid
PRKCD	PRKCD_PF00130	Common	normal	2	0	solid
PRKCD_PF00130	PTPN6_PF00017	Common	normal	1.97647058823529	0	arrow
PTPN6	PTPN6_PF00017	Common	normal	1.97647058823529	0	solid
PRKCD_PF00130	STAT1_PF00017	Common	normal	2	0	arrow
STAT1_PF00017	STAT1	Common	normal	2	0	solid
PRKCD	PRKCD_PF00433	Common	normal	2	0	solid
PRKCD_PF00433	STAT1_PF00017	Common	normal	2	0	arrow
BRCA1	BRCA1_PF00533	Common	normal	2	0	solid
BRCA1_PF00533	TP53_PF00870	Common	normal	1.83529411764706	0	arrow
TP53	TP53_PF00870	Common	normal	1.62352941176471	0	solid
BRCA1_PF00533	MAPK3_PF00069	Common	normal	2	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
GFI1B_PF00096	HDAC2_PF00850	Common	normal	2	0	arrow
HDAC2	HDAC2_PF00850	Common	normal	2	0	solid
CDK8_PF00069	SMAD3_PF03166	Common	normal	2	0	arrow
SMAD3	SMAD3_PF03166	Common	normal	1.88235294117647	0	solid
CDK8_PF00069	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
HDAC2_PF00850	SP3_PF00096	Common	normal	2	0	arrow
SP3_PF00096	SP3	Common	normal	2	0	solid
HDAC2_PF00850	MTA1_PF01448	Common	normal	1.92941176470588	0	arrow
MTA1_PF01448	MTA1	Common	normal	1.92941176470588	0	solid
HDAC2_PF00850	ZNF217_PF00096	Common	normal	2	0	arrow
ZNF217_PF00096	ZNF217	Common	normal	2	0	solid
GATAD2B	GATAD2B_PF16563	Common	normal	1.97647058823529	0	solid
GATAD2B_PF16563	MBD2_PF14048	Common	normal	1.97647058823529	0	arrow
MBD2_PF14048	MBD2	Common	normal	1.97647058823529	0	solid
PTPN6_PF00017	STAT5B_PF01017	Common	normal	1.97647058823529	0	arrow
STAT5B_PF01017	STAT5B	Common	normal	1.97647058823529	0	solid
PTPN6_PF00017	STAT5B_PF02864	Common	normal	1.97647058823529	0	arrow
STAT5B_PF02864	STAT5B	Common	normal	1.97647058823529	0	solid
