source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	2	0	solid
H3F3A_PF00125	BPTF_PF00628	Common	normal	2	0	arrow
BPTF_PF00628	BPTF	Common	normal	2	0	solid
H3F3A_PF00125	BPTF_PF00439	Common	normal	2	0	arrow
BPTF	BPTF_PF00439	Common	normal	2	0	solid
H3F3A_PF00125	KAT2B_PF00439	Common	normal	2	0	arrow
KAT2B	KAT2B_PF00439	Common	normal	2	0	solid
PIK3R1	PIK3R1_PF16454	Common	normal	1.96153846153846	0	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	1.96153846153846	0	arrow
STAT3	STAT3_PF00017	Common	normal	0.346153846153846	0	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	PIK3R1_PF00017	Common	normal	1.65384615384615	0	arrow
PIK3R1_PF00017	PIK3R1	Common	normal	1.65384615384615	0	solid
INPPL1_PF00017	PIK3R1_PF00620	Common	normal	1.65384615384615	0	arrow
PIK3R1	PIK3R1_PF00620	Common	normal	0.307692307692308	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2	STAT2_PF00017	Common	normal	1.61538461538462	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP2_PF02319	Common	normal	2	0	arrow
TFDP2	TFDP2_PF02319	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	RELB_PF00554	Common	normal	2	0	arrow
RELB_PF00554	RELB	Common	normal	2	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	JUNB_PF00170	Common	normal	2	0	arrow
JUNB	JUNB_PF00170	Common	normal	0.0769230769230769	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6_PF00170	ATF6	Common	normal	2	0	solid
KAT2B_PF00439	CREBBP_PF00439	Common	normal	1.57692307692308	0	arrow
CREBBP	CREBBP_PF00439	Common	normal	0.0384615384615385	0	solid
KAT2B_PF00439	CREBBP_PF00569	Common	normal	1.57692307692308	0	arrow
CREBBP_PF00569	CREBBP	Common	normal	1.57692307692308	0	solid
KAT2B_PF00439	CREBBP_PF06001	Common	normal	1.57692307692308	0	arrow
CREBBP_PF06001	CREBBP	Common	normal	1.57692307692308	0	solid
KAT2B_PF00439	NCOA1_PF00010	Common	normal	2	0	arrow
NCOA1_PF00010	NCOA1	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	2	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	2	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	2	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	1.84615384615385	0	solid
KLF5_PF00096	ELAVL1_PF00076	Common	normal	1.84615384615385	0	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	2	0	arrow
MAZ_PF00096	MAZ	Common	normal	2	0	solid
BPTF_PF00439	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
TAF1	TAF1_PF12157	Common	normal	1.69230769230769	0	solid
TAF1_PF12157	TBP_PF00352	Common	normal	1.69230769230769	0	arrow
TBP	TBP_PF00352	Common	normal	2	0	solid
TAF1	TAF1_PF09247	Common	normal	1.69230769230769	0	solid
TAF1_PF09247	TBP_PF00352	Common	normal	1.69230769230769	0	arrow
IRF1	IRF1_PF00605	Common	normal	2	0	solid
IRF1_PF00605	IRF2_PF00605	Common	normal	2	0	arrow
IRF2_PF00605	IRF2	Common	normal	2	0	solid
IRF1_PF00605	IRF9_PF00605	Common	normal	2	0	arrow
IRF9_PF00605	IRF9	Common	normal	2	0	solid
KANK2	KANK2_PF12796	Common	normal	1.69230769230769	0	solid
KANK2_PF12796	LMO2_PF00412	Common	normal	1.69230769230769	0	arrow
LMO2	LMO2_PF00412	Common	normal	2	0	solid
STAT2_PF00017	STAT6_PF01017	Common	normal	1.46153846153846	0	arrow
STAT6_PF01017	STAT6	Common	normal	1.46153846153846	0	solid
STAT2_PF00017	AURKA_PF00069	Common	normal	1.61538461538462	0	arrow
AURKA	AURKA_PF00069	Common	normal	2	0	solid
SAMD4A	SAMD4A_PF00536	Common	normal	1.69230769230769	0	solid
SAMD4A_PF00536	INPPL1_PF00536	Common	normal	1.69230769230769	0	arrow
INPPL1_PF00536	INPPL1	Common	normal	1.69230769230769	0	solid
MAPK3_PF00069	SREBF2_PF00010	Common	normal	2	0	arrow
SREBF2	SREBF2_PF00010	Common	normal	0.384615384615385	0	solid
AURKA_PF00069	CTCFL_PF00096	Common	normal	2	0	arrow
CTCFL_PF00096	CTCFL	Common	normal	2	0	solid
ELAVL1_PF00076	KLF9_PF00096	Common	normal	2	0	arrow
KLF9_PF00096	KLF9	Common	normal	2	0	solid
CREBBP	CREBBP_PF02172	Common	normal	2	0	solid
CREBBP_PF02172	FOXO3_PF16675	Common	normal	2	0	arrow
FOXO3_PF16675	FOXO3	Common	normal	2	0	solid
CREBBP_PF02172	FOXO3_PF16676	Common	normal	2	0	arrow
FOXO3_PF16676	FOXO3	Common	normal	2	0	solid
CREBBP_PF02172	FOXO4_PF16676	Common	normal	2	0	arrow
FOXO4_PF16676	FOXO4	Common	normal	2	0	solid
TFDP2_PF02319	E2F2_PF02319	Common	normal	2	0	arrow
