source	target	interaction	splice_status	weight	shade	status
CTNND1	CTNND1_PF00514	Common	normal	1.58490566037736	0	solid
CTNND1_PF00514	PTPN6_PF00102	Common	normal	1.58490566037736	0	arrow
PTPN6_PF00102	PTPN6	Common	normal	1.58490566037736	0	solid
TAF1	TAF1_PF00439	Common	normal	2	0	solid
TAF1_PF00439	CCND1_PF00134	Common	normal	2	0	arrow
CCND1	CCND1_PF00134	Common	normal	2	0	solid
TAF1_PF00439	MAX_PF00010	Common	normal	2	0	arrow
MAX_PF00010	MAX	Common	normal	2	0	solid
BTK	BTK_PF00017	Common	normal	2	0	solid
BTK_PF00017	STAT5A_PF00017	Common	normal	2	0	arrow
STAT5A_PF00017	STAT5A	Common	normal	2	0	solid
BTK_PF00017	STAT5A_PF01017	Common	normal	2	0	arrow
STAT5A_PF01017	STAT5A	Common	normal	2	0	solid
BTK	BTK_PF00169	Common	normal	2	0	solid
BTK_PF00169	STAT5A_PF00017	Common	normal	2	0	arrow
BTK	BTK_PF00779	Common	normal	2	0	solid
BTK_PF00779	STAT5A_PF00017	Common	normal	2	0	arrow
ATF1	ATF1_PF00170	Common	normal	2	0	solid
ATF1_PF00170	SPI1_PF00178	Common	normal	2	0	arrow
SPI1_PF00178	SPI1	Common	normal	2	0	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4_PF03166	SMAD4	Common	normal	2	0	solid
KLF5_PF00096	ELAVL1_PF00076	Common	normal	1.73584905660377	0	arrow
ELAVL1	ELAVL1_PF00076	Common	normal	2	0	solid
KLF5_PF00096	SMAD3_PF03166	Common	normal	2	0	arrow
SMAD3_PF03166	SMAD3	Common	normal	2	0	solid
KLF5_PF00096	CREBBP_PF00439	Common	normal	1.92452830188679	0	arrow
CREBBP	CREBBP_PF00439	Common	normal	2	0	solid
KLF5_PF00096	JUN_PF00170	Common	normal	1.09433962264151	0	arrow
JUN_PF00170	JUN	Common	normal	1.09433962264151	0	solid
BPTF	BPTF_PF00439	Common	normal	1.92452830188679	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	1.92452830188679	0	arrow
MAZ_PF00096	MAZ	Common	normal	1.92452830188679	0	solid
KDM5B	KDM5B_PF00628	Common	normal	2	0	solid
