source	target	interaction	splice_status	weight	shade	status
TAF1	TAF1_PF00439	Common	normal	1.97	-0.03	solid
TAF1_PF00439	MAX_PF00010	Common	normal	1.97	-0.03	arrow
MAX_PF00010	MAX	Common	normal	1.97	-0.03	solid
ZHX3	ZHX3_PF00046	Network_A	normal	0.79	1	solid
ZHX3_PF00046	TFAP4_PF00010	Network_A	normal	0.79	1	arrow
TFAP4_PF00010	TFAP4	Common	normal	1.21	-0.79	solid
TGFBR1	TGFBR1_PF07714	Network_A	normal	0.81	1	solid
TGFBR1_PF07714	PIK3R1_PF00017	Network_A	normal	0.81	1	arrow
PIK3R1_PF00017	PIK3R1	Network_B	normal	1	-1	solid
TGFBR1	TGFBR1_PF00069	Network_A	normal	0.81	1	solid
TGFBR1_PF00069	PIK3R1_PF00620	Network_A	normal	0.81	1	arrow
PIK3R1_PF00620	PIK3R1	Network_A	normal	0.81	1	solid
PIK3R1	PIK3R1_PF16454	Common	normal	2	0	solid
PIK3R1_PF16454	STAT3_PF00017	Common	normal	2	0	arrow
STAT3	STAT3_PF00017	Network_A	normal	0.04	1	solid
PIK3R1_PF16454	INPPL1_PF00017	Common	normal	2	0	arrow
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
EZH2	EZH2_PF00856	Common	normal	2	0	solid
EZH2_PF00856	MAZ_PF00096	Network_A	normal	1	1	arrow
MAZ	MAZ_PF00096	Network_A	normal	0.05	1	solid
EZH2_PF00856	FBXW11_PF00400	Common	normal	1.99	-0.01	arrow
FBXW11	FBXW11_PF00400	Common	normal	1.99	-0.01	solid
EZH2_PF00856	WT1_PF00096	Common	normal	2	0	arrow
WT1_PF00096	WT1	Common	normal	2	0	solid
EZH2_PF00856	FBXW7_PF00400	Common	normal	1.93	-0.07	arrow
FBXW7	FBXW7_PF00400	Common	normal	1.99	-0.01	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	FOSL2_PF00170	Common	normal	2	0	arrow
FOSL2	FOSL2_PF00170	Common	normal	2	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6	ATF6_PF00170	Common	normal	1.67	-0.33	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	ETS1_PF00178	Common	normal	2	0	arrow
ETS1_PF00178	ETS1	Common	normal	2	0	solid
ELK4	ELK4_PF00178	Common	normal	2	0	solid
ELK4_PF00178	SRF_PF00319	Common	normal	2	0	arrow
SRF	SRF_PF00319	Common	normal	2	0	solid
RBBP4	RBBP4_PF12265	Common	normal	1.99	-0.01	solid
RBBP4_PF12265	MTA2_PF17226	Common	normal	1.99	-0.01	arrow
MTA2_PF17226	MTA2	Common	normal	1.99	-0.01	solid
FOSL2_PF00170	EGR1_PF00096	Common	normal	2	0	arrow
EGR1	EGR1_PF00096	Network_A	normal	0.04	1	solid
ID2	ID2_PF00010	Network_A	normal	0.92	1	solid
ID2_PF00010	SREBF1_PF00010	Network_A	normal	0.92	1	arrow
SREBF1_PF00010	SREBF1	Common	normal	1.08	-0.92	solid
KLF5	KLF5_PF00096	Common	normal	1.98	-0.02	solid
KLF5_PF00096	SMAD3_PF03166	Common	normal	1.98	-0.02	arrow
SMAD3	SMAD3_PF03166	Network_A	normal	0.03	1	solid
KLF5_PF00096	JUN_PF00170	Common	normal	1.59	-0.41	arrow
JUN_PF00170	JUN	Common	normal	1.59	-0.41	solid
KLF5_PF00096	HDAC1_PF00850	Network_A	normal	0.99	1	arrow
HDAC1	HDAC1_PF00850	Network_A	normal	0.99	1	solid
MAFF	MAFF_PF03131	Common	normal	2	0	solid
MAFF_PF03131	NFE2L1_PF03131	Common	normal	2	0	arrow
NFE2L1_PF03131	NFE2L1	Common	normal	2	0	solid
MAFF_PF03131	ATF3_PF00170	Common	normal	2	0	arrow
ATF3_PF00170	ATF3	Common	normal	2	0	solid
ATF6_PF00170	MAPK14_PF00069	Common	normal	1.67	-0.33	arrow
MAPK14	MAPK14_PF00069	Common	normal	2	0	solid
TGFBR1_PF00069	SMAD4_PF03166	Network_A	normal	0.55	1	arrow
SMAD4_PF03166	SMAD4	Common	normal	1.45	-0.55	solid
HDAC1_PF00850	RBBP4_PF00400	Network_A	normal	0.99	1	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
HDAC1_PF00850	KLF1_PF00096	Network_A	normal	0.92	1	arrow
KLF1_PF00096	KLF1	Common	normal	1.08	-0.92	solid
HDAC1_PF00850	NFKB1_PF00023	Network_A	normal	0.83	1	arrow
NFKB1_PF00023	NFKB1	Network_A	normal	0.83	1	solid
IRF3	IRF3_PF10401	Network_A	normal	0.45	1	solid
IRF3_PF10401	CREBBP_PF09030	Network_A	normal	0.45	1	arrow
CREBBP_PF09030	CREBBP	Network_A	normal	0.45	1	solid
MTA2	MTA2_PF00320	Common	normal	1.63	-0.37	solid
MTA2_PF00320	GATAD2B_PF00320	Common	normal	1.63	-0.37	arrow
GATAD2B_PF00320	GATAD2B	Common	normal	1.63	-0.37	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ESR1_PF00105	Common	normal	1.98	-0.02	arrow
ESR1_PF00105	ESR1	Common	normal	1.98	-0.02	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
ARNT_PF00010	ARNT	Common	normal	2	0	solid
STAT2	STAT2_PF00017	Common	normal	1.87	-0.13	solid
STAT2_PF00017	STAT6_PF01017	Common	normal	1.87	-0.13	arrow
STAT6_PF01017	STAT6	Common	normal	1.87	-0.13	solid
MAPK14_PF00069	TGFBR1_PF01064	Network_A	normal	0.78	1	arrow
TGFBR1_PF01064	TGFBR1	Network_A	normal	0.78	1	solid
