source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Common	normal	1.47222222222222	0	solid
H3F3A_PF00125	BPTF_PF00628	Common	normal	1.47222222222222	0	arrow
BPTF_PF00628	BPTF	Common	normal	1.47222222222222	0	solid
H3F3A_PF00125	BPTF_PF00439	Common	normal	1.47222222222222	0	arrow
BPTF	BPTF_PF00439	Common	normal	1.61111111111111	0	solid
EPAS1	EPAS1_PF08447	Common	normal	1.44444444444444	0	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.44444444444444	0	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.44444444444444	0	solid
EPAS1_PF08447	HIF1A_PF08447	Common	normal	1.44444444444444	0	arrow
HIF1A_PF08447	HIF1A	Common	normal	1.44444444444444	0	solid
JDP2	JDP2_PF00170	Common	normal	2	0	solid
JDP2_PF00170	ATF2_PF00170	Common	normal	1.91666666666667	0	arrow
ATF2_PF00170	ATF2	Common	normal	1.91666666666667	0	solid
JDP2_PF00170	ATF7_PF00170	Common	normal	2	0	arrow
ATF7_PF00170	ATF7	Common	normal	2	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	JUNB_PF00170	Common	normal	2	0	arrow
JUNB	JUNB_PF00170	Common	normal	0.25	0	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6	ATF6_PF00170	Common	normal	1.66666666666667	0	solid
PRKCD	PRKCD_PF00130	Common	normal	2	0	solid
PRKCD_PF00130	STAT3_PF00017	Common	normal	2	0	arrow
STAT3	STAT3_PF00017	Common	normal	1.80555555555556	0	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	1.61111111111111	0	arrow
MAZ	MAZ_PF00096	Common	normal	0.333333333333333	0	solid
BPTF_PF00439	RBBP4_PF00400	Common	normal	1.05555555555556	0	arrow
RBBP4	RBBP4_PF00400	Common	normal	2	0	solid
ATF6_PF00170	MAPK14_PF00069	Common	normal	1.66666666666667	0	arrow
MAPK14	MAPK14_PF00069	Common	normal	2	0	solid
SKI	SKI_PF08782	Common	normal	2	0	solid
SKI_PF08782	SMAD5_PF03166	Common	normal	2	0	arrow
