source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Network_A	normal	0.788461538461538	1	solid
H3F3A_PF00125	RBBP4_PF00400(ENST00000373493_ENST00000458695)	Network_A	normal	0.788461538461538	1	arrow
RBBP4	RBBP4_PF00400(ENST00000373493_ENST00000458695)	Network_A	normal	0.980769230769231	1	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Common	normal	2	0	arrow
TFDP2_PF08781	TFDP2	Common	normal	2	0	solid
EZH2	EZH2_PF00856	Common	normal	1.98684210526316	0.0131578947368421	solid
EZH2_PF00856	BPTF_PF00628	Common	normal	1.47267206477733	-0.395748987854251	arrow
BPTF_PF00628	BPTF	Common	normal	1.47267206477733	-0.395748987854251	solid
EZH2_PF00856	MAZ_PF00096	Common	normal	1.75202429149798	0.0941295546558705	arrow
MAZ_PF00096	MAZ	Common	normal	1.75202429149798	0.0941295546558705	solid
EZH2_PF00856	WT1_PF00096	Common	normal	1.98684210526316	0.0131578947368421	arrow
WT1_PF00096	WT1	Common	normal	1.98684210526316	0.0131578947368421	solid
EZH2_PF00856	FBXW7_PF00400	Common	normal	1.22064777327935	0.510121457489879	arrow
FBXW7	FBXW7_PF00400	Common	normal	1.90283400809717	-0.0182186234817814	solid
EZH2	EZH2_PF11616	Common	normal	1.22064777327935	0.510121457489879	solid
EZH2_PF11616	FBXW7_PF00400	Common	normal	1.22064777327935	0.510121457489879	arrow
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
ELK4	ELK4_PF00178	Common	normal	2	0	solid
ELK4_PF00178	SRF_PF00319	Common	normal	2	0	arrow
SRF	SRF_PF00319	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533(ENST00000357654)	Network_A	normal	0.980769230769231	1	solid
BRCA1_PF00533(ENST00000357654)	CDK4_PF00069	Network_A	spliced	0.980769230769231	1	arrow
CDK4	CDK4_PF00069	Common	normal	1.25	0.75	solid
BRCA1_PF00533(ENST00000357654)	CDK2_PF00069	Network_A	spliced	0.980769230769231	1	arrow
CDK2	CDK2_PF00069	Common	normal	2	0	solid
RBBP4	RBBP4_PF12265(ENST00000373493_ENST00000458695)	Network_A	normal	0.865384615384615	1	solid
RBBP4_PF12265(ENST00000373493_ENST00000458695)	MTA2_PF17226	Network_A	spliced	0.865384615384615	1	arrow
MTA2_PF17226	MTA2	Network_A	normal	0.865384615384615	1	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4	SMAD4_PF03166	Network_B	normal	0.0131578947368421	-1	solid
