source	target	interaction	splice_status	weight	shade	status
TAF1	TAF1_PF00439	Common	normal	1.82	0	solid
TAF1_PF00439	FOS_PF00170	Common	normal	1.82	0	arrow
FOS_PF00170	FOS	Common	normal	1.82	0	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	2	0	solid
NEK6_PF00069	ATF4_PF00170	Common	normal	2	0	arrow
ATF4_PF00170	ATF4	Common	normal	2	0	solid
NEK6_PF00069	IKZF3_PF00096	Common	normal	1.18	0	arrow
IKZF3	IKZF3_PF00096	Common	normal	1.18	0	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	FOSL2_PF00170	Common	normal	2	0	arrow
FOSL2_PF00170	FOSL2	Common	normal	2	0	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	REL_PF16179	Common	normal	2	0	arrow
REL_PF16179	REL	Common	normal	2	0	solid
STAT2	STAT2_PF12188	Common	normal	1.66	0	solid
STAT2_PF12188	CREBBP_PF02135	Common	normal	1.66	0	arrow
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
ID2	ID2_PF00010	Common	normal	1.58	0	solid
ID2_PF00010	MAPK3_PF00069	Common	normal	1.44	0	arrow
MAPK3	MAPK3_PF00069	Common	normal	2	0	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	1.58	0	arrow
SREBF1_PF00010	SREBF1	Common	normal	1.58	0	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
KLF5_PF00096	SMAD4_PF03166	Common	normal	2	0	arrow
SMAD4_PF03166	SMAD4	Common	normal	2	0	solid
