source	target	interaction	splice_status	weight	shade	status
EZH2	EZH2_PF00856	Common	normal	2	0	solid
EZH2_PF00856	MAZ_PF00096	Common	normal	2	0	arrow
MAZ_PF00096	MAZ	Common	normal	2	0	solid
EZH2_PF00856	WT1_PF00096	Common	normal	2	0	arrow
WT1_PF00096	WT1	Common	normal	2	0	solid
NEK6	NEK6_PF00069	Common	normal	0.965151515151515	0.934848484848485	solid
NEK6_PF00069	IKZF1_PF00096	Common	normal	0.965151515151515	0.934848484848485	arrow
IKZF1_PF00096	IKZF1	Common	normal	1.03484848484848	-0.934848484848485	solid
STK40	STK40_PF00069	Common	normal	1.01515151515152	0.984848484848485	solid
STK40_PF00069	FOS_PF00170	Common	normal	1.01515151515152	0.984848484848485	arrow
FOS_PF00170	FOS	Common	normal	1.01515151515152	0.984848484848485	solid
STK40_PF00069	ZNF397_PF00096	Network_A	normal	0.95	1	arrow
ZNF397	ZNF397_PF00096	Network_A	normal	0.95	1	solid
ELK4	ELK4_PF00178	Common	normal	2	0	solid
ELK4_PF00178	SRF_PF00319	Common	normal	2	0	arrow
SRF_PF00319	SRF	Common	normal	2	0	solid
BRCA1	BRCA1_PF00533	Common	normal	1.88939393939394	0.0106060606060605	solid
BRCA1_PF00533	TP53_PF00870	Common	normal	1.84969696969697	-0.0896969696969697	arrow
TP53	TP53_PF00870	Common	normal	0.968787878787879	-0.788787878787879	solid
BRCA1_PF00533	TP63_PF00870	Common	normal	1.03121212121212	0.788787878787879	arrow
TP63_PF00870	TP63	Common	normal	1.03121212121212	0.788787878787879	solid
ZNF397_PF00096	ZKSCAN1_PF13465	Network_A	normal	0.95	1	arrow
ZKSCAN1_PF13465	ZKSCAN1	Network_A	normal	0.95	1	solid
ZNF397_PF00096	ZKSCAN1_PF00096	Network_A	normal	0.95	1	arrow
ZKSCAN1_PF00096	ZKSCAN1	Common	normal	1.05	-0.95	solid
ZNF397_PF00096	ZKSCAN1_PF01352	Network_A	normal	0.95	1	arrow
ZKSCAN1_PF01352	ZKSCAN1	Network_A	normal	0.95	1	solid
ID2	ID2_PF00010	Common	normal	1.81333333333333	0.146666666666667	solid
ID2_PF00010	SREBF1_PF00010	Common	normal	1.81333333333333	0.146666666666667	arrow
SREBF1_PF00010	SREBF1	Common	normal	1.81333333333333	0.146666666666667	solid
KLF5	KLF5_PF00096	Common	normal	2	0	solid
