UniProtKB:Q15906	Vacuolar protein sorting-associated protein 72 homolog		GO:0035267		ComplexPortal	NCBITaxon:9606	IDA		PANTHER:PTHR13275	protein		PMID:27153538	20170131
UniProtKB:Q03111	Protein ENL		GO:0035267		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000574151|UniProtKB:O95619|SGD:S000005051|CGD:CAL0000173992|PomBase:SPAC17G8.07|FB:FBgn0031873|SGD:S000005739	PANTHER:PTHR23195	protein		PMID:21873635	20210924
UniProtKB:Q6ZTU2	Putative EP400-like protein		GO:0035267		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN008206595|UniProtKB:Q96L91|CGD:CAL0000190942|SGD:S000002767|PomBase:SPCC1795.08c	PANTHER:PTHR46459	protein		PMID:21873635	20220330
UniProtKB:P60709	Actin, cytoplasmic 1		GO:0035267		ComplexPortal	NCBITaxon:9606	IDA		PANTHER:PTHR11937	protein		PMID:27153538	20170131
UniProtKB:P60709	Actin, cytoplasmic 1		GO:0035267		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11937	protein		PMID:10966108	20041101
UniProtKB:P60709	Actin, cytoplasmic 1		GO:0035267		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000748531|UniProtKB:P60709	PANTHER:PTHR11937	protein		PMID:21873635	20190301
UniProtKB:Q9NXR8	Inhibitor of growth protein 3		GO:0032777		ComplexPortal	NCBITaxon:9606	IDA		PANTHER:PTHR10333	protein		PMID:14966270	20161014
UniProtKB:Q9NXR8	Inhibitor of growth protein 3		GO:0035267		ComplexPortal	NCBITaxon:9606	IDA		PANTHER:PTHR10333	protein		PMID:27153538	20170131
UniProtKB:Q9NXR8	Inhibitor of growth protein 3		GO:0032777		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10333	protein		PMID:14966270	20090529
UniProtKB:Q9NXR8	Inhibitor of growth protein 3		GO:0035267		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10333	protein		PMID:14966270	20090429
UniProtKB:Q9NXR8	Inhibitor of growth protein 3		GO:0035267		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10333	protein		PMID:16387653	20090529
UniProtKB:Q9NXR8	Inhibitor of growth protein 3		GO:0035267		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000817799|FB:FBgn0030945|UniProtKB:Q9NXR8	PANTHER:PTHR10333	protein		PMID:21873635	20180915
UniProtKB:Q15014	Mortality factor 4-like protein 2		GO:0035267		ComplexPortal	NCBITaxon:9606	IDA		PANTHER:PTHR10880	protein		PMID:27153538	20170131
UniProtKB:Q15014	Mortality factor 4-like protein 2		GO:0035267		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000093964|PomBase:SPAC23H4.12|UniProtKB:Q15014|UniProtKB:Q9UBU8|FB:FBgn0027378|CGD:CAL0000193590|SGD:S000006227	PANTHER:PTHR10880	protein		PMID:21873635	20211215
UniProtKB:O96019	Actin-like protein 6A		GO:0035267		ComplexPortal	NCBITaxon:9606	IDA		PANTHER:PTHR11937	protein		PMID:27153538	20170131
UniProtKB:O96019	Actin-like protein 6A		GO:0035267		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11937	protein		PMID:10966108	20041101
