source	target	interaction	splice_status	weight	shade	status
DDB2	DDB2_PF00400	Network_A	normal	1	1	solid
DDB2_PF00400	TCP1_PF00118(ENST00000321394_ENST00000539756)	Network_A	spliced	1	1	arrow
TCP1	TCP1_PF00118(ENST00000321394_ENST00000539756)	Network_A	normal	1	1	solid
DDB2_PF00400	HDAC1_PF00850	Network_A	normal	0.96	1	arrow
HDAC1	HDAC1_PF00850	Network_A	normal	0.73	1	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	CRK_PF00017	Common	normal	1.93959595959596	0.0204040404040404	arrow
CRK_PF00017	CRK	Common	normal	1.93959595959596	0.0204040404040404	solid
INPPL1_PF00017	CRK_PF07653	Common	normal	1.93959595959596	0.0204040404040404	arrow
CRK_PF07653	CRK	Common	normal	1.93959595959596	0.0204040404040404	solid
INPPL1_PF00017	CRK_PF00018	Common	normal	1.93959595959596	0.0204040404040404	arrow
CRK	CRK_PF00018	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781	Network_A	normal	1	1	arrow
TFDP2_PF08781	TFDP2	Network_A	normal	1	1	solid
TCP1_PF00118(ENST00000321394_ENST00000539756)	MAPK8_PF00069	Network_A	spliced	0.69	1	arrow
MAPK8	MAPK8_PF00069	Common	normal	1.61858585858586	-0.0985858585858586	solid
TCP1_PF00118(ENST00000321394_ENST00000539756)	CDC20_PF00400(ENST00000310955)	Network_A	spliced	1	1	arrow
CDC20	CDC20_PF00400(ENST00000310955)	Network_A	normal	1	1	solid
CRK_PF00018	STAT4_PF00017	Common	normal	2	0	arrow
STAT4_PF00017	STAT4	Common	normal	2	0	solid
STAT2	STAT2_PF12188	Common	normal	0.882727272727273	0.337272727272727	solid
STAT2_PF12188	CREBBP_PF02135	Common	normal	0.882727272727273	0.337272727272727	arrow
CREBBP	CREBBP_PF02135	Common	normal	0.645050505050505	-0.365050505050505	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
SMAD1	SMAD1_PF03166	Common	normal	1.99	-0.01	solid
SALL1	SALL1_PF00096	Common	normal	2	0	solid
SALL1_PF00096	FOXA2_PF00250	Common	normal	2	0	arrow
