species	type	status
JDP2	P	normal
JDP2_PF00170	D	normal
JUN_PF00170	D	normal
ATF7_PF00170	D	normal
NEK6	P	normal
NEK6_PF00069	D	normal
ATF4_PF00170	D	normal
NFATC1_PF00554	D	normal
KAT2B	P	normal
KAT2B_PF00439	D	normal
MYC_PF00010	D	normal
CLOCK_PF00010	D	normal
HIVEP3	P	normal
HIVEP3_PF00096	D	normal
FUS_PF00076	D	normal
HOXC9	P	normal
HOXC9_PF00046	D	normal
ZNF384_PF00096	D	normal
AHRR	P	normal
AHRR_PF00010	D	normal
ARNT_PF00010	D	normal
AHRR_PF00989	D	normal
ARNT_PF14598	D	normal
ARNT_PF00989	D	normal
NCOA3	T	normal
NCOA3_PF08815	D	normal
CREBBP_PF09030	D	normal
FUS	P	normal
FBXW11_PF00400	D	normal
ELAVL1_PF00076	D	normal
ARID2_PF01388	D	normal
CREBBP	P	normal
CREBBP_PF02135	D	normal
EPAS1_PF08778	D	normal
FBXW11	P	normal
HBP1_PF00505	D	normal
ARNT	T	normal
NCOA1_PF00989	D	normal
NCOA2_PF00989	D	normal
GABPB1	P	normal
GABPB1_PF12796	D	normal
GABPA_PF00178	D	normal
MAML3	P	normal
MAML3_PF09596	D	normal
RBPJ_PF09271	D	normal
CREBBP_PF00439	D	normal
KAT2B_PF00583	D	normal
TCF12_PF00010	D	normal
ELAVL1	P	normal
KDM5B_PF01388	D	normal
PBX1_PF00046	D	normal
PBX1	P	normal
FOXA1_PF00250	D	normal
JUN	T	normal
SPIB_PF00178	D	normal
MAPK1_PF00069	D	normal
ETV1_PF00178	D	normal
MAPK1	P	normal
NCOA3_PF00989	D	normal
Perturbation	S	normal
Perturbation_Perturbation	D	normal
LYL1_PF00010	D	normal
GABPB1_PF13637	D	normal
PBX2_PF00046	D	normal
KDM5B	T	normal
KDM5B_PF00628	D	normal
NCOA1_PF00010	D	normal
HNRNPL	P	normal
HNRNPL_PF13893	D	normal
PBX2	T	normal
HNRNPL_PF00076	D	normal
NUDT21	P	normal
NUDT21_PF13869	D	normal
NCOA2	T	normal
NCOA2_PF08815	D	normal
AKT1_PF00069	D	normal
AKT1	P	normal
GPATCH8	P	normal
GPATCH8_PF01585	D	normal
PPIL4	P	normal
PPIL4_PF00076	D	normal
CSNK1A1_PF00069	D	normal
CSNK1A1	P	normal
IKBKB_PF00069	D	normal
IKBKB	P	normal
MAML2	P	normal
MAML2_PF09596	D	normal
RBPJ_PF01833	D	normal
RBBP7_PF00400	D	normal
RBBP7	P	normal
ARID1A	P	normal
ARID1A_PF01388	D	normal
SMARCA4	P	normal
SMARCA4_PF00271	D	normal
SMARCA4_PF00439	D	normal
GSK3B_PF00069	D	normal
GSK3B	P	normal
DDX3X	P	normal
DDX3X_PF00271	D	normal
VRK1_PF00069	D	normal
PHIP	P	normal
PHIP_PF00400	D	normal
DDX3X_PF00270	D	normal
MYC	T	normal
PHIP_PF00439	D	normal
VRK1	P	normal
MAPK14_PF00069	D	normal
MAPK14	P	normal
ATF7	T	normal
ATF4	T	normal
NFATC1	T	normal
CLOCK	T	normal
ZNF384	T	normal
ARID2	T	normal
EPAS1	T	normal
HBP1	T	normal
NCOA1	T	normal
GABPA	T	normal
RBPJ	T	normal
TCF12	T	normal
FOXA1	T	normal
SPIB	T	normal
ETV1	T	normal
LYL1	T	normal
