species	type	status
H3F3A	P	normal
H3F3A_PF00125	D	normal
BPTF_PF00628	D	normal
EPAS1	T	normal
EPAS1_PF08447(ENST00000263734)	D	spliced
HIF1A_PF00989	D	normal
ARNT_PF00989(ENST00000354396)	D	spliced
STK40	P	normal
STK40_PF00069	D	normal
JUNB_PF00170	D	normal
ATF6_PF00170	D	normal
ICK	P	normal
ICK_PF00069	D	normal
HSP90AA1_PF02518(ENST00000216281)	D	spliced
SMAD1_PF03166	D	normal
HSP90AA1	P	normal
AHR_PF00989(ENST00000242057)	D	spliced
PRKCZ_PF00069(ENST00000461106)	D	spliced
CDK4_PF00069	D	normal
RBBP4	P	normal
RBBP4_PF12265	D	normal
MTA1_PF17226	D	normal
RBBP4_PF00400	D	normal
ID2	P	normal
ID2_PF00010(ENST00000396290)	D	spliced
TCF12_PF00010	D	normal
MAFF	T	normal
MAFF_PF03131(ENST00000426621)	D	spliced
BACH2_PF03131	D	normal
MAFG_PF03131	D	normal
BPTF	P	normal
BPTF_PF00439	D	normal
MAZ_PF00096	D	normal
CDK4	P	normal
TEAD2_PF01285	D	normal
NCOA2_PF00989	D	normal
PPP1CA_PF00149	D	normal
CCND1_PF00134(ENST00000227507)	D	spliced
PITX1	P	normal
PITX1_PF00046	D	normal
NR5A1_PF00104(ENST00000620110)	D	spliced
EGR1_PF00096	D	normal
TEAD2	P	normal
TEAD4_PF01285	D	normal
CCND1	P	normal
RB1_PF08934(ENST00000267163)	D	spliced
NCOA3	T	normal
NCOA3_PF08815	D	normal
CREBBP_PF09030	D	normal
FUS_PF00076	D	normal
TEAD2_PF17725	D	normal
TEAD1_PF17725(ENST00000526600)	D	spliced
GATAD2B	P	normal
GATAD2B_PF16563	D	normal
MBD2_PF14048(ENST00000256429)	D	spliced
FUS	P	normal
ARID2_PF01388	D	normal
CREBBP	P	normal
CREBBP_PF02135	D	normal
EPAS1_PF08778(ENST00000263734)	D	spliced
MTA1	P	normal
MTA1_PF00320	D	normal
GATAD2B_PF00320	D	normal
RB1	P	normal
TFDP2_PF08781	D	normal
E2F4_PF16421	D	normal
KLF6	T	normal
KLF6_PF00096(ENST00000497571)	D	spliced
EHMT2_PF00856	D	normal
KLF4_PF00096	D	normal
NCOA2	T	normal
NCOA2_PF16279	D	normal
NR2F1_PF00104	D	normal
MAML3	P	normal
