species	type	status
DDB2	P	normal
DDB2_PF00400	D	normal
TCP1_PF00118(ENST00000321394_ENST00000539756)	D	spliced
HDAC1_PF00850	D	normal
INPPL1	P	normal
INPPL1_PF00017	D	normal
CRK_PF00017	D	normal
CRK_PF07653	D	normal
CRK_PF00018	D	normal
STAT2_PF02864	D	normal
STAT2_PF01017	D	normal
STAT2_PF00017	D	normal
E2F6	P	normal
E2F6_PF16421	D	normal
TFDP2_PF08781	D	normal
TCP1	P	normal
MAPK8_PF00069	D	normal
CDC20_PF00400(ENST00000310955)	D	spliced
CRK	P	normal
STAT4_PF00017	D	normal
STAT2	T	normal
STAT2_PF12188	D	normal
CREBBP_PF02135	D	normal
ICK	P	normal
ICK_PF00069	D	normal
SMAD1_PF03166	D	normal
SALL1	P	normal
SALL1_PF00096	D	normal
FOXA2_PF00250	D	normal
CDC20	P	normal
HHEX_PF00046	D	normal
BRCA1	P	normal
BRCA1_PF00533(ENST00000357654)	D	spliced
MAPK3_PF00069	D	normal
SMAD1	T	normal
CDK8_PF00069	D	normal
HDAC1	P	normal
MTA1_PF01448	D	normal
TLE3_PF00400	D	normal
PITX1	P	normal
PITX1_PF00046	D	normal
FOXO1_PF00250(ENST00000379561)	D	spliced
NR5A1_PF00104	D	normal
PCBD1	P	normal
PCBD1_PF01329	D	normal
HNF1A_PF04814	D	normal
CDK8	P	normal
MYC_PF00010	D	normal
BRCA1_PF00097(ENST00000357654)	D	spliced
SMAD5_PF03166	D	normal
SREBF1_PF00010	D	normal
GATAD2B	P	normal
GATAD2B_PF16563	D	normal
MBD2_PF14048	D	normal
TLE3	P	normal
TCF7L2_PF00505	D	normal
TLE4_PF00400	D	normal
MTA1	P	normal
MTA1_PF00320	D	normal
GATAD2B_PF00320	D	normal
TLE4	P	normal
POU2F2_PF00046	D	normal
SAMD4A	P	normal
SAMD4A_PF00536	D	normal
INPPL1_PF00536	D	normal
E2F1	T	normal
E2F1_PF16421(ENST00000343380)	D	spliced
RB1_PF08934	D	normal
RB1	P	normal
E2F4_PF16421	D	normal
MAPK8	P	normal
JUNB_PF00170	D	normal
JUNB	T	normal
BCL6_PF00096	D	normal
E2F6_PF02319	D	normal
TFDP1_PF02319	D	normal
TFDP1_PF08781	D	normal
MAPK3	P	normal
SREBF2_PF00010	D	normal
