source	target	interaction	splice_status	weight	shade	status
NR3C1	NR3C1_PF00105	Common	normal	2	0	solid
NR3C1_PF00105	ZFX_PF00096	Common	normal	2	0	arrow
ZFX_PF00096	ZFX	Common	normal	2	0	solid
EPAS1	EPAS1_PF08447	Common	normal	1.82916145181477	0.0644555694618273	solid
EPAS1_PF08447	HIF1A_PF00989	Common	normal	1.82916145181477	0.0644555694618273	arrow
HIF1A_PF00989	HIF1A	Common	normal	1.82916145181477	0.0644555694618273	solid
INPPL1	INPPL1_PF00017	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF02864	Common	normal	2	0	arrow
STAT2_PF02864	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF01017	Common	normal	2	0	arrow
STAT2_PF01017	STAT2	Common	normal	2	0	solid
INPPL1_PF00017	STAT2_PF00017	Common	normal	2	0	arrow
STAT2_PF00017	STAT2	Common	normal	2	0	solid
PPIL4	PPIL4_PF00076	Common	normal	1.96808510638298	-0.0319148936170213	solid
PPIL4_PF00076	SMAD5_PF03165	Common	normal	1.96808510638298	-0.0319148936170213	arrow
SMAD5_PF03165	SMAD5	Common	normal	1.96808510638298	-0.0319148936170213	solid
PPIL4_PF00076	FUS_PF00076	Common	normal	1.87234042553191	-0.127659574468085	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
USF2	USF2_PF00010	Common	normal	2	0	solid
USF2_PF00010	RELA_PF00554(ENST00000615805)	Network_A	spliced	1	1	arrow
RELA	RELA_PF00554(ENST00000615805)	Network_A	normal	0.0425531914893617	1	solid
USF2_PF00010	EPAS1_PF00989	Common	normal	2	0	arrow
EPAS1	EPAS1_PF00989	Common	normal	2	0	solid
USF2_PF00010	TFAP4_PF00010	Common	normal	2	0	arrow
TFAP4_PF00010	TFAP4	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP2_PF08781(ENST00000479040)	Network_A	spliced	1	1	arrow
