source	target	interaction	splice_status	weight	shade	status
EPAS1	EPAS1_PF08447(ENST00000263734)	Network_A	normal	0.519230769230769	1	solid
EPAS1_PF08447(ENST00000263734)	HIF1A_PF00989	Network_A	spliced	0.519230769230769	1	arrow
HIF1A_PF00989	HIF1A	Common	normal	0.682692307692308	-0.567307692307692	solid
INPPL1	INPPL1_PF00017	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF02864(ENST00000314128)	Network_A	spliced	1	1	arrow
STAT2_PF02864(ENST00000314128)	STAT2	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF01017(ENST00000314128)	Network_A	spliced	1	1	arrow
STAT2_PF01017(ENST00000314128)	STAT2	Network_A	normal	1	1	solid
INPPL1_PF00017	STAT2_PF00017(ENST00000314128)	Network_A	spliced	1	1	arrow
STAT2_PF00017(ENST00000314128)	STAT2	Network_A	normal	1	1	solid
NEK6	NEK6_PF00069(ENST00000320246_ENST00000394199)	Network_A	normal	1	1	solid
NEK6_PF00069(ENST00000320246_ENST00000394199)	RELB_PF00554	Network_A	spliced	1	1	arrow
RELB	RELB_PF00554	Network_A	normal	1	1	solid
NFKB1	NFKB1_PF12796	Common	normal	2	0	solid
NFKB1_PF12796	ELF3_PF00178	Common	normal	2	0	arrow
ELF3_PF00178	ELF3	Common	normal	2	0	solid
NFKB1_PF12796	REL_PF16179	Common	normal	1.76923076923077	-0.230769230769231	arrow
REL_PF16179	REL	Common	normal	1.76923076923077	-0.230769230769231	solid
STAT2	STAT2_PF12188(ENST00000314128)	Network_A	normal	0.807692307692308	1	solid
STAT2_PF12188(ENST00000314128)	CREBBP_PF02135	Network_A	spliced	0.807692307692308	1	arrow
CREBBP	CREBBP_PF02135	Network_A	normal	1	1	solid
ID2	ID2_PF00010(ENST00000396290)	Network_A	normal	1	1	solid
ID2_PF00010(ENST00000396290)	MAPK3_PF00069(ENST00000263025_ENST00000395199)	Network_A	spliced	1	1	arrow
MAPK3	MAPK3_PF00069(ENST00000263025_ENST00000395199)	Network_A	normal	1	1	solid
ID2_PF00010(ENST00000396290)	TCF12_PF00010	Network_A	spliced	1	1	arrow
TCF12_PF00010	TCF12	Network_A	normal	1	1	solid
RELB_PF00554	CDK1_PF00069(ENST00000395284)	Network_A	spliced	1	1	arrow
CDK1	CDK1_PF00069(ENST00000395284)	Network_A	normal	1	1	solid
RELB_PF00554	NFKBIA_PF00023	Network_A	normal	1	1	arrow
NFKBIA	NFKBIA_PF00023	Common	normal	2	0	solid
CDK1_PF00069(ENST00000395284)	MYC_PF00010	Network_A	spliced	0.903846153846154	1	arrow
MYC	MYC_PF00010	Common	normal	0.913461538461538	-0.836538461538462	solid
CDK1_PF00069(ENST00000395284)	CCND1_PF00134	Network_A	spliced	1	1	arrow
CCND1	CCND1_PF00134	Network_A	normal	1	1	solid
CDK1_PF00069(ENST00000395284)	CCND1_PF02984	Network_A	spliced	1	1	arrow
CCND1_PF02984	CCND1	Network_A	normal	1	1	solid
CDK1_PF00069(ENST00000395284)	TP73_PF00870	Network_A	normal	1	1	arrow
TP73_PF00870	TP73	Network_A	normal	1	1	solid
CDK1_PF00069(ENST00000395284)	MKI67_PF00498	Network_A	spliced	0.884615384615385	1	arrow
MKI67	MKI67_PF00498	Network_A	normal	0.884615384615385	1	solid
CDK1_PF00069(ENST00000395284)	FOXM1_PF00250	Network_A	spliced	1	1	arrow
FOXM1_PF00250	FOXM1	Network_A	normal	1	1	solid
TLK2	TLK2_PF00069	Common	normal	2	0	solid
TLK2_PF00069	NFATC2_PF00554	Common	normal	2	0	arrow
NFATC2	NFATC2_PF00554	Network_B	normal	0.9375	-1	solid
CCND1_PF00134	RB1_PF08934(ENST00000267163)	Network_A	spliced	1	1	arrow
RB1	RB1_PF08934(ENST00000267163)	Network_A	normal	1	1	solid
CREBBP_PF02135	STAT1_PF12162	Network_A	normal	0.884615384615385	1	arrow
STAT1_PF12162	STAT1	Network_A	normal	0.884615384615385	1	solid
CREBBP_PF02135	EPAS1_PF08778(ENST00000263734)	Network_A	spliced	1	1	arrow
EPAS1_PF08778(ENST00000263734)	EPAS1	Network_A	normal	1	1	solid
SAMD4A	SAMD4A_PF00536	Network_A	normal	1	1	solid
SAMD4A_PF00536	INPPL1_PF00536	Network_A	normal	1	1	arrow
INPPL1_PF00536	INPPL1	Network_A	normal	1	1	solid
RB1_PF08934(ENST00000267163)	E2F4_PF16421	Network_A	spliced	1	1	arrow
E2F4_PF16421	E2F4	Network_A	normal	1	1	solid
MKI67_PF00498	HBP1_PF00505	Network_A	normal	0.884615384615385	1	arrow
HBP1_PF00505	HBP1	Common	normal	0.913461538461538	-0.836538461538462	solid
ETV4	ETV4_PF00178	Common	normal	1.94230769230769	-0.0576923076923077	solid
ETV4_PF00178	JUN_PF00170	Common	normal	1.94230769230769	-0.0576923076923077	arrow
JUN	JUN_PF00170	Common	normal	2	0	solid
MAPK3_PF00069(ENST00000263025_ENST00000395199)	FBXW7_PF00400	Network_A	spliced	1	1	arrow
FBXW7	FBXW7_PF00400	Common	normal	1.9375	0.0625	solid
MAPK3_PF00069(ENST00000263025_ENST00000395199)	HNF4A_PF00104(ENST00000619550)	Network_A	spliced	1	1	arrow
HNF4A_PF00104(ENST00000619550)	HNF4A	Network_A	normal	1	1	solid
FBXW7_PF00400	SOX9_PF00505	Common	normal	1.9375	0.0625	arrow
SOX9_PF00505	SOX9	Common	normal	1.9375	0.0625	solid
NFKBIA_PF00023	NFKB1_PF00531	Common	normal	1.125	0.875	arrow
NFKB1_PF00531	NFKB1	Common	normal	1.125	0.875	solid
NFKBIA	NFKBIA_PF12796	Common	normal	2	0	solid
NFKBIA_PF12796	NFKB1_PF00023	Common	normal	1.125	0.875	arrow
NFKB1_PF00023	NFKB1	Common	normal	1.125	0.875	solid
