species	type	status
NR3C1	T	normal
NR3C1_PF00105	D	normal
ZFX_PF00096	D	normal
EPAS1	T	normal
EPAS1_PF08447	D	normal
HIF1A_PF00989	D	normal
INPPL1	P	normal
INPPL1_PF00017	D	normal
STAT2_PF02864	D	normal
STAT2_PF01017	D	normal
STAT2_PF00017	D	normal
PPIL4	P	normal
PPIL4_PF00076	D	normal
SMAD5_PF03165	D	normal
FUS_PF00076	D	normal
USF2	T	normal
USF2_PF00010	D	normal
RELA_PF00554(ENST00000615805)	D	spliced
EPAS1_PF00989	D	normal
TFAP4_PF00010	D	normal
E2F6	P	normal
E2F6_PF16421	D	normal
TFDP2_PF08781(ENST00000479040)	D	spliced
EZH2	P	normal
EZH2_PF00856(ENST00000460911)	D	spliced
MAZ_PF00096	D	normal
FBXW7_PF00400	D	normal
EZH2_PF11616(ENST00000460911)	D	spliced
STK40	P	normal
STK40_PF00069	D	normal
FOSL2_PF00170	D	normal
FOS_PF00170(ENST00000303562)	D	spliced
STAT2	T	normal
STAT2_PF12188	D	normal
CREBBP_PF02135	D	normal
PRDM16	P	normal
PRDM16_PF00096	D	normal
RBBP4_PF00400(ENST00000373493_ENST00000458695)	D	spliced
MTA1_PF00249	D	normal
ID2	P	normal
ID2_PF00010	D	normal
MAPK3_PF00069	D	normal
TCF12_PF00010(ENST00000557843)	D	spliced
RHOU_PF00071	D	normal
KLF5	T	normal
KLF5_PF00096	D	normal
GSK3B_PF00069	D	normal
RHOU	P	normal
LYL1_PF00010	D	normal
PITX1	P	normal
PITX1_PF00046	D	normal
NR5A1_PF00104	D	normal
NR5A1_PF00105	D	normal
PCBD1	P	normal
PCBD1_PF01329	D	normal
HNF1A_PF04814	D	normal
RBBP4	P	normal
BRCA1_PF00097(ENST00000357654_ENST00000468300)	D	spliced
GATAD2B	P	normal
GATAD2B_PF16563	D	normal
MBD2_PF14048	D	normal
FUS	P	normal
ESRRA_PF00105	D	normal
NR2C2_PF00105	D	normal
ARID2_PF01388	D	normal
BRCA1	P	normal
UBE2K_PF00179	D	normal
BRCA1_PF15227	D	normal
MTA1	P	normal
MTA1_PF00320	D	normal
GATAD2B_PF00320	D	normal
SAMD4A	P	normal
SAMD4A_PF00536(ENST00000392067)	D	spliced
INPPL1_PF00536	D	normal
E2F1	T	normal
E2F1_PF16421(ENST00000343380)	D	spliced
RB1_PF08934	D	normal
