	members	nearby_genes	emb_variable_x	emb_variable_y	manual_annotation	contained_string_cluster_ids	contained_string_clusters	contained_corum_complexes	nearby_corum_complexes	nearby_string_clusters	strong_positive_gene_expr_clusters	strong_negative_gene_expr_clusters	best_description	example_genes	Notes
0	AMMECR1,RAB4B,RNF11,SH3GL1	CDAN1,CRAT,E2F1,FAM102B,GLMN,HNRNPH1,MED14,MED16,MED18,MED20,MED21,MED28,MED8,MED9,MNT,NAA15,NFKBIE,NSD1,PPP4C,RAB4B,RNF11,RNGTT,SH3GL1,SRSF1,BTAF1,TRIM24	3.1582866	-2.4986253					ARC complex;ARC-L complex;ARC92-Mediator complex;BRD4 complex;CDK8 subcomplex (CCNC, CDK8, MED12, MED13);CRSP complex;CRSP-Mediator 2 complex;DRIP complex;ESR1-TRAP/Mediator coactivator-complex;ESR2-TRAP/Mediator coactivator complex;MED18-MED20-MED29 mediator subcomplex;Mediator complex;Microprocessor complex;PC2 complex;Protein phosphatase 4 complex;SMCC complex;TRAP complex;TRAP-SMCC mediator complex	mediator complex;mediator complex;mediator complex;mediator complex;mediator complex;Mediator complex, subunit Med7/Med21-like, and Med6 core domain superfamily;core mediator complex, and Mediator complex protein ;mixed, incl. Mediator complex subunit 29, and Mediator complex subunit 27			unknown 1		
1	ZNF326,COX6B1,COA8,SETX,SLC12A5,SPRY4	ZNF326,COX6B1,COA8,SETX,SLC12A5,SPRY4	2.4882994	0.23557314									unknown 2		
2	RAB5IF,EXOC5,PACS2,RAI14,SKIL,STARD10,ELOB,C16orf87	RAB5IF,EXOC5,PACS2,RAI14,SKIL,SRSF11,STARD10,ELOB,C16orf87	-2.4565122	-1.2189121									unknown 3		
3	DCAF11,HIPK3,NPC1,OXCT1,SYNJ2	DCAF11,HIPK3,MCMBP,NPC1,OXCT1,SYNJ2	1.0130105	3.9718723									unknown 4		
4	ZC3H13,CBLL1,METTL14,METTL3,PSMG1,RBM15	ZC3H13,CBLL1,METTL14,METTL3,PSMG1,RBM15	-2.9598207	-6.474436	m6A mRNA methylation								m6A mRNA methylation	METTL3, METTL14, ZC3H13	
5	CASC3,CLOCK,IPO13,MAGOH,SMG5,SMG7,SMG8,SMG9,UPF1,UPF2	CASC3,CLOCK,EIF3A,EIF3C,EIF3G,EIF3I,EIF3J,GIGYF2,IPO13,MAGOH,NUB1,POU3F1,BAG6,SMG5,SMG7,SMG8,SMG9,UPF1,UPF2,XRCC5,XRCC6	1.2065411	1.6383473	nonsense-mediated decay				EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C);EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J);EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I);Ku antigen complex;eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	eukaryotic 48S preinitiation complex;eukaryotic 48S preinitiation complex	1_targets of nonsense-mediated decay		nonsense-mediated decay	SMG5,SMG7,SMG8,SMG9,UPF1,UPF2	CLOCK is an off-target
6	ZNHIT1,ACTR6,CFDP1,CHCHD3,H2AFZ,HOXD3,HSPH1,KANSL2,KANSL3,KAT8,MCRS1,PCM1,PPP1CA,VPS72,YEATS4	ZNHIT1,ACTR6,CFDP1,CHCHD3,H2AFZ,HOXD3,HSPH1,KANSL2,KANSL3,KAT8,MCRS1,PCM1,PPP1CA,VPS72,YEATS4	-2.0171175	6.014771	histone acetylation								histone acetylation 1	KAT8,KANSL2,KANSL3,MCRS1,YEATS4	
7	ACTR8,GBA2,INO80B,INO80C,INO80,NFRKB,UCHL5,ZBTB17	ACTR8,GBA2,INO80B,INO80C,INO80,NFRKB,PAN2,UCHL5,ZBTB17	3.6434278	-3.7282598	INO80 complex	CL:4188;CL:4191	Ino80 complex;Ino80 complex						INO80 complex		
8	ZC3H3,ZFC3H1,CAMTA2,DHX29,DIS3,EXOSC1,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,MBNL1,PABPN1,PIBF1,MTREX,ST20-MTHFS,THAP2	ZC3H3,ZFC3H1,CAMTA2,DHX29,DIS3,EXOSC1,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,MBNL1,PABPN1,PIBF1,MTREX,ST20-MTHFS,THAP2	-3.3443675	-7.3955193	exosome and mRNA turnover	CL:1078;CL:1081;CL:1093	nuclear exosome (RNase complex), and DIS3-like exonuclease 1;nuclear exosome (RNase complex);PNPase/RNase PH domain superfamily, and S1 domain	Exosome		nuclear ncRNA surveillance, and Exosome component EXOSC1/CSL4	5_dysregulated lncRNA/antisense transcripts		exosome and mRNA turnover		
9	PCNX3,PIAS1,SAE1,UBA2,UBE2I	DIPK1B,JAZF1,PCNX3,PIAS1,ATRX,SAE1,SERINC3,SETDB1,SUMO2,TBX1,TRMT2B,UBA2,UBE2I,UGCG	-1.2974194	-5.3006577	post-translational modifications			SUA1-UBA2 complex					post-translational modifications 1	PIAS1,SAE1,UBA2,UBE2I	
10	GLRX3,KEAP1,NAA30,NAA35	CUL1,CUL3,DAXX,FBXW11,GLRX3,KEAP1,METTL21A,NAA30,NAA35,NAE1,NEDD8-MDP1,NEDD8,BMP2K,UBA3	1.7730509	-5.1993113	post-translational modifications				APPBP1-UBA3 complex;COP9 signalosome complex	Signalosome			post-translational modifications 2	GLRX3,NAA30,NAA35	
11	DPY19L4,SUMO2,UBE3C,UGCG	DPY19L4,DIPK1B,PCNX3,PIAS1,SAE1,SETDB1,SUMO2,TBX1,UBA2,UBE3C,UGCG	-1.3024285	-5.0041084	post-translational modifications				SUA1-UBA2 complex				post-translational modifications 3	SUMO2, UBE3C	
12	CMTR2,RBM14-RBM4,RBM4,UNCX,WDFY3	CMTR2,EIF4H,FLI1,HOMER3,MGRN1,MTF1,RBM14-RBM4,RBM4,UNCX,WDFY3,ZBTB44	-5.907462	-5.145452									unknown 5		
