source	target	interaction	splice_status	weight	shade	status
H3F3A	H3F3A_PF00125	Network_A	normal	0.902439024390244	1	solid
H3F3A_PF00125	BPTF_PF00628	Network_A	normal	0.902439024390244	1	arrow
BPTF_PF00628	BPTF	Network_A	normal	0.902439024390244	1	solid
EPAS1	EPAS1_PF08447(ENST00000263734)	Network_A	normal	0.878048780487805	1	solid
EPAS1_PF08447(ENST00000263734)	HIF1A_PF00989	Network_A	spliced	0.829268292682927	1	arrow
HIF1A_PF00989	HIF1A	Network_A	normal	0.829268292682927	1	solid
EPAS1_PF08447(ENST00000263734)	ARNT_PF00989	Network_A	normal	0.878048780487805	1	arrow
ARNT_PF00989	ARNT	Network_A	normal	0.878048780487805	1	solid
STK40	STK40_PF00069	Common	normal	2	0	solid
STK40_PF00069	JUNB_PF00170	Common	normal	2	0	arrow
JUNB	JUNB_PF00170	Common	normal	0.213170731707317	-0.0668292682926829	solid
STK40_PF00069	ATF6_PF00170	Common	normal	2	0	arrow
ATF6	ATF6_PF00170	Network_B	normal	0.05	-1	solid
ICK	ICK_PF00069	Common	normal	2	0	solid
ICK_PF00069	HSP90AA1_PF02518(ENST00000216281)	Network_A	spliced	1	1	arrow
HSP90AA1	HSP90AA1_PF02518(ENST00000216281)	Network_A	normal	1	1	solid
ICK_PF00069	SMAD1_PF03166	Common	normal	2	0	arrow
SMAD1	SMAD1_PF03166	Network_B	normal	0.06	-1	solid
HSP90AA1_PF02518(ENST00000216281)	AHR_PF00989(ENST00000242057)	Network_A	spliced	1	1	arrow
AHR	AHR_PF00989(ENST00000242057)	Network_A	normal	0.0975609756097561	1	solid
HSP90AA1_PF02518(ENST00000216281)	PRKCZ_PF00069(ENST00000461106)	Network_A	spliced	0.902439024390244	1	arrow
PRKCZ	PRKCZ_PF00069(ENST00000461106)	Network_A	normal	0.902439024390244	1	solid
HSP90AA1_PF02518(ENST00000216281)	CDK4_PF00069	Network_A	spliced	1	1	arrow
CDK4	CDK4_PF00069	Common	normal	1.15	0.85	solid
RBBP4	RBBP4_PF12265	Network_A	normal	0.951219512195122	1	solid
RBBP4_PF12265	MTA1_PF17226	Network_A	normal	0.951219512195122	1	arrow
MTA1_PF17226	MTA1	Network_A	normal	0.951219512195122	1	solid
RBBP4	RBBP4_PF00400	Common	normal	1.39	0.61	solid
RBBP4_PF00400	MTA1_PF17226	Network_A	normal	0.951219512195122	1	arrow
ID2	ID2_PF00010	Common	normal	1.87	0.13	solid
ID2_PF00010	TCF12_PF00010	Common	normal	1.87	0.13	arrow
TCF12_PF00010	TCF12	Common	normal	1.87	0.13	solid
MAFF	MAFF_PF03131(ENST00000426621)	Network_A	normal	1	1	solid
MAFF_PF03131(ENST00000426621)	BACH2_PF03131	Network_A	spliced	1	1	arrow
BACH2_PF03131	BACH2	Network_A	normal	1	1	solid
MAFF_PF03131(ENST00000426621)	MAFG_PF03131	Network_A	spliced	1	1	arrow
MAFG_PF03131	MAFG	Network_A	normal	1	1	solid
BPTF	BPTF_PF00439	Common	normal	1.01	0.99	solid
BPTF_PF00439	MAZ_PF00096	Common	normal	1.01	0.99	arrow
MAZ_PF00096	MAZ	Common	normal	1.01	0.99	solid
BPTF_PF00439	RBBP4_PF00400	Network_A	normal	0.682926829268293	1	arrow
CDK4_PF00069	TEAD2_PF01285	Network_A	normal	1	1	arrow
TEAD2	TEAD2_PF01285	Network_A	normal	1	1	solid
CDK4_PF00069	NCOA2_PF00989	Common	normal	1.15	0.85	arrow
